#OTU ID	Decade	Year_Cut	Soil_Depth	Salvage_Harvest_Status
Sample1	2nd PreMPB_NEW	1992	5-15cm	Non_Salvage_Harvested
Sample10	1st PreMPB_Old	1988	5-15cm	Non_Salvage_Harvested
Sample100	Old Forest	Matrix Forest	0-5cm	Non_Salvage_Harvested
Sample101	Old Forest	Matrix Forest	OrgC	Non_Salvage_Harvested
Sample102	1st PreMPB_Old	1986	OrgC	Non_Salvage_Harvested
Sample103	Old Forest	Matrix Forest	OrgC	Non_Salvage_Harvested
Sample104	Early MPB	2010	0-5cm	Salvage_Harvested
Sample105	Early MPB	2010	0-5cm	Salvage_Harvested
Sample106	Recent Cuts	2019/2021	0-5cm	Salvage_Harvested
Sample107	Early MPB	2010	0-5cm	Salvage_Harvested
Sample108	Recent Cuts	2019/2021	0-5cm	Salvage_Harvested
Sample109	Recent Cuts	2019/2021	0-5cm	Salvage_Harvested
Sample11	2nd PreMPB_NEW	1992	5-15cm	Non_Salvage_Harvested
Sample110	Late MPB	2013	0-5cm	Salvage_Harvested
Sample111	Late MPB	2013	0-5cm	Salvage_Harvested
Sample112	Late MPB	2014	0-5cm	Salvage_Harvested
Sample113	Late MPB	2014	0-5cm	Salvage_Harvested
Sample114	Late MPB	2014	0-5cm	Salvage_Harvested
Sample115	Late MPB	2012	0-5cm	Salvage_Harvested
Sample116	Late MPB	2013	0-5cm	Salvage_Harvested
Sample117	Late MPB	2014	0-5cm	Salvage_Harvested
Sample118	Late MPB	2014	0-5cm	Salvage_Harvested
Sample119	Late MPB	2012	0-5cm	Salvage_Harvested
Sample12	1st PreMPB_Old	1988	5-15cm	Non_Salvage_Harvested
Sample120	Recent Cuts	2019	0-5cm	Salvage_Harvested
Sample121	Late MPB	2012	0-5cm	Salvage_Harvested
Sample122	Late MPB	2014	0-5cm	Salvage_Harvested
Sample123	Late MPB	2013	0-5cm	Salvage_Harvested
Sample124	Recent Cuts	2019	0-5cm	Salvage_Harvested
Sample125	Recent Cuts	2019	0-5cm	Salvage_Harvested
Sample126	Late MPB	2014	5-15cm	Salvage_Harvested
Sample127	Early MPB	2009	5-15cm	Salvage_Harvested
Sample128	Early MPB	2010	5-15cm	Salvage_Harvested
Sample129	Early MPB	2010	5-15cm	Salvage_Harvested
Sample13	Recent Cuts	2018	5-15cm	Salvage_Harvested
Sample130	Recent Cuts	2019/2021	5-15cm	Salvage_Harvested
Sample131	Early MPB	2009	5-15cm	Salvage_Harvested
Sample132	Early MPB	2010	5-15cm	Salvage_Harvested
Sample133	Recent Cuts	2019/2021	5-15cm	Salvage_Harvested
Sample134	Early MPB	2009	5-15cm	Salvage_Harvested
Sample135	Late MPB	2012	5-15cm	Salvage_Harvested
Sample136	Early MPB	2009	5-15cm	Salvage_Harvested
Sample137	Recent Cuts	2019/2021	5-15cm	Salvage_Harvested
Sample14	2nd PreMPB_NEW	1996	5-15cm	Non_Salvage_Harvested
Sample140	Late MPB	2014	5-15cm	Salvage_Harvested
Sample141	Late MPB	2012	5-15cm	Salvage_Harvested
Sample142	Early MPB	2009	5-15cm	Salvage_Harvested
