Feature ID	Taxon	Phyla	Class	Order	Family	Genus	Species	Sequence_Hierarchy	Guild	Trophic_Mode
8a0b722d481542b749b88b5bbaf635c6	Fungi									Unknown
1835bbb053c0d3091151f1b1b87b7721	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Rickenellaceae	Rickenella	Rickenella_indica	SH1964039.09FU	Plant Pathogen	Pathotroph
f4d282968cbc0b3941c85bf57a4293ee	Fungi									Unknown
73307d7abb6bff4a1fb6052f28dd3367	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Sarocladium	Sarocladium_kiliense	SH1402658.09FU	Animal Pathogen	Pathotroph
188a32c433f531ccc2fdda11b3b0aefb	Fungi	Basidiomycota	Agaricomycetes							Unknown
5497bf416a31349682888379d32fddde	Fungi	Basidiomycota	Agaricomycetes							Unknown
86d3cc5e36e02071cb97e6c1cb6ce47f	Fungi	Basidiomycota	Agaricomycetes	Atheliales	Pilodermataceae	Piloderma	Piloderma_bicolor	SH1455679.09FU	Ectomycorrhizal	Symbiotroph
bf1507c0bc595486405fd6ca5e83478a	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Ceratobasidiaceae_gen_Incertae_sedis	Ceratobasidiaceae_sp	SH2010503.09FU		Multiple
1031b24a7b3e391c9f1e04263b2c7fb7	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Thelephora	Thelephora_sp		Ectomycorrhizal	Symbiotroph
25381d059eba8bbd43ef971a2d454b4b	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_coprobium	SH1342049.09FU	Undefined Saprotroph	Multiple
60aa150d27ceaca23616171582d9b790	Fungi	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Selenophoma	Selenophoma_mahoniae	SH1968818.09FU	Wood Saprotroph	Saprotroph
4b594831d99531f353e36b82101795bb	Fungi									Unknown
bda12f45976f9f47e39fbd8844351c2a	Fungi	Basidiomycota	Agaricomycetes	Agaricales						Multiple
1a9cd4ce47a046eb1546939a975e13cd	Fungi									Unknown
b2f0fc5a10d347dee011bdc7a4ff24f6	Fungi									Unknown
29f142a9c1f0eed0c8f61947f555c5a6	Fungi	Basidiomycota	Agaricomycetes	Atheliales	Pilodermataceae	Piloderma			Ectomycorrhizal	Symbiotroph
7270cfee9fbbadaad94bcfeb5ec229ae	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae					Multiple
86dab2d4cec90895521791c604026468	Fungi									Unknown
166b9bc7976194a018282a2bfc6090bb	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Clitopilus	Clitopilus_brunneiceps	SH2015034.09FU	Plant Saprotroph	Multiple
75193ea4887131a43100e006f6474bd3	Fungi	Ascomycota								Unknown
c387c857a17ce3835294a75a55a5cdef	Fungi									Unknown
12ba1b748719e01180cfbb3b74ca4b72	Fungi	Ascomycota	Dothideomycetes	Venturiales	Venturiaceae	Venturia			Plant Pathogen	Multiple
7354b5004f8763229edb40dda44c5adb	Fungi	Ascomycota	Eurotiomycetes							Unknown
ae7a527810343c857f97d017f672441e	Fungi									Unknown
f8fc87c8ad84487bc9a416a84fc4c4a8	Fungi									Unknown
dd26b0ac3ff3b5d694bde5231b65ad80	Fungi	Basidiomycota	Agaricomycetes	Atheliales	Pilodermataceae	Piloderma			Ectomycorrhizal	Symbiotroph
66ee09b38dee133a7e7f2d579a2e0766	Fungi	Ascomycota	Leotiomycetes	Leotiales	Cochlearomycetaceae	Satchmopsis	Satchmopsis_metrosideri	SH1513315.09FU	Plant Saprotroph	Saprotroph
84e9bf9383d63bb2154bdd5e4117b583	Fungi	Ascomycota	Leotiomycetes	Leotiales	Cochlearomycetaceae	Satchmopsis	Satchmopsis_metrosideri	SH1513315.09FU	Plant Saprotroph	Saprotroph
c1a690f61ffff38e161767b645df1fa0	Fungi	Basidiomycota								Unknown
1bdb36bd55e880a0cfac2dcef1c4832e	Fungi	Ascomycota	Leotiomycetes	Leotiales	Cochlearomycetaceae	Satchmopsis	Satchmopsis_metrosideri	SH1513315.09FU	Plant Saprotroph	Saprotroph
a00c72132c745f97eca60343504719bb	Fungi									Unknown
072656b2639051ee6778da7e4136aff9	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae					Multiple
416b0fba8f1e1e9af275b8f15bc521bf	Fungi	Basidiomycota	Agaricomycetes	Agaricales						Multiple
8fe5c5f01cfd20b782c6e07c4e0aaf85	Fungi	Ascomycota								Unknown
7c053451c9191171e8086e54ebc136e0	Fungi									Unknown
0060e0a7126e44af2d9f689884167c83	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Linnemannia	Linnemannia_camargensis	SH1366784.09FU		Multiple
ef16d2cb75e87123cd64e826ae72eb1e	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	Cladophialophora_humicola	SH1415840.09FU	Undefined Saprotroph	Multiple
6c97d7b6d3e3d370560854ccfea8ede5	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Wilcoxina	Wilcoxina_rehmii	SH1347045.09FU	Ectomycorrhizal	Symbiotroph
b3727525c58d2040be03ada88677cf92	Fungi	Glomeromycota	Glomeromycetes						Arbuscular Mycorrhizal	Symbiotroph
