SampleID	Treatment	Moisture	Salvage_Harvest_Status	Height	MeanCanWidth	RootDryMass	Aboveground_Biomass	RoottoShootRatio
OG_W_1	Old_Growth	Wet	Non_Salvage_Harvested	NA	NA	NA	NA	NA
OG_W_2	Old_Growth	Wet	Non_Salvage_Harvested	NA	NA	NA	NA	NA
OG_W_3	Old_Growth	Wet	Non_Salvage_Harvested	NA	NA	NA	NA	NA
OG_W_4	Old_Growth	Wet	Non_Salvage_Harvested	4.4	4.8	0.364216185	0.1161	3.13709031
OG_W_5	Old_Growth	Wet	Non_Salvage_Harvested	5.7	5.05	0.567765079	0.1337	4.246560055
OG_W_6	Old_Growth	Wet	Non_Salvage_Harvested	5.3	4.5	0.517090743	0.1059	4.882820988
OG_W_7	Old_Growth	Wet	Non_Salvage_Harvested	4.5	4.55	0.34934573	0.0427	8.18139883
OG_W_8	Old_Growth	Wet	Non_Salvage_Harvested	4.4	4.85	0.3216	NA	NA
OG_W_9	Old_Growth	Wet	Non_Salvage_Harvested	NA	NA	NA	NA	NA
OG_W_10	Old_Growth	Wet	Non_Salvage_Harvested	NA	NA	NA	NA	NA
OG_W_11	Old_Growth	Wet	Non_Salvage_Harvested	NA	NA	NA	NA	NA
OG_W_12	Old_Growth	Wet	Non_Salvage_Harvested	6	5.25	0.3132	0.1514	2.068692206
OG_W_13	Old_Growth	Wet	Non_Salvage_Harvested	5.1	5.45	0.569	0.1726	3.296639629
OG_W_14	Old_Growth	Wet	Non_Salvage_Harvested	NA	NA	NA	NA	NA
OG_W_15	Old_Growth	Wet	Non_Salvage_Harvested	NA	NA	NA	NA	NA
OG_W_16	Old_Growth	Wet	Non_Salvage_Harvested	NA	NA	NA	NA	NA
OG_W_17	Old_Growth	Wet	Non_Salvage_Harvested	NA	NA	NA	NA	NA
OG_W_18	Old_Growth	Wet	Non_Salvage_Harvested	NA	NA	NA	NA	NA
OG_W_19	Old_Growth	Wet	Non_Salvage_Harvested	3.8	2.95	0.2079	0.052	3.998076923
OG_W_20	Old_Growth	Wet	Non_Salvage_Harvested	3.5	3.85	0.1433	0.0753	1.903054449
OG_W_21	Old_Growth	Wet	Non_Salvage_Harvested	NA	NA	NA	NA	NA
OG_W_22	Old_Growth	Wet	Non_Salvage_Harvested	4.6	4.25	0.955592877	0.1355	7.052345953
OG_W_23	Old_Growth	Wet	Non_Salvage_Harvested	5.8	4.4	0.3019	0.1703	1.772753964
OG_W_24	Old_Growth	Wet	Non_Salvage_Harvested	NA	NA	NA	NA	NA
OG_W_25	Old_Growth	Wet	Non_Salvage_Harvested	NA	NA	NA	NA	NA
OG_W_26	Old_Growth	Wet	Non_Salvage_Harvested	3.8	2.1	0.0659	0.219	0.300913242
OG_W_27	Old_Growth	Wet	Non_Salvage_Harvested	4.6	4.15	0.3722	0.2073	1.795465509
OG_W_28	Old_Growth	Wet	Non_Salvage_Harvested	2.8	1.75	0.0675	0.1893	0.356576862
OG_W_29	Old_Growth	Wet	Non_Salvage_Harvested	NA	NA	NA	NA	NA
OG_W_30	Old_Growth	Wet	Non_Salvage_Harvested	NA	NA	0.1687	NA	NA
1Pre_W_1	1st_Pre_MPB	Wet	Non_Salvage_Harvested	5.1	5.3	0.3287	0.2459	1.336722245
1Pre_W_2	1st_Pre_MPB	Wet	Non_Salvage_Harvested	5.9	4.5	0.3148	0.2755	1.142649728
