Original_Label	SampleID	Corrected_ID	Sample_Type	Tree	Time_Point	Replicate	Treatment_LandUseHistory	Salvage_Harvest_Status	Treatment_Moisture	Logging	Height	MeanCanWidth	RootDryMass	Aboveground_Biomass	RoottoShootRatio	RootTips_Colonized_RawCounts	RootTips_Metric_ColonizedTipsper_RootDryMass
1Post_W_6	SFSP100	SFGB100	Rhizosphere	Tree	Day_of_Harvest	6	1stPostMPB	Salvage_Harvested	Wet	2000s	3.6	3.15	0.214310186	0.0813	2.636041647	3	18.44309537
1Post_W_8	SFSP101	SFGB101	Rhizosphere	Tree	Day_of_Harvest	8	1stPostMPB	Salvage_Harvested	Wet	2000s	4.8	3.15	0.155	0.0727	2.132049519	NA	NA
1Post_W_13	SFSP102	SFGB102	Rhizosphere	Tree	Day_of_Harvest	13	1stPostMPB	Salvage_Harvested	Wet	2000s	3.5	3.05	0.1552	0.065	2.387692308	NA	NA
1Post_W_15	SFSP103	SFGB103	Rhizosphere	Tree	Day_of_Harvest	15	1stPostMPB	Salvage_Harvested	Wet	2000s	3.8	3.3	0.253033012	0.0909	2.783641494	34	209.0217475
1Post_W_18	SFSP104	SFGB104	Rhizosphere	Tree	Day_of_Harvest	18	1stPostMPB	Salvage_Harvested	Wet	2000s	3.6	4.6	0.282765461	0.0762	3.710832821	NA	NA
1Post_W_22	SFSP105	SFGB105	Rhizosphere	Tree	Day_of_Harvest	22	1stPostMPB	Salvage_Harvested	Wet	2000s	3.4	2.75	0.159953379	0.0753	2.124214865	16	98.36317529
1Post_W_23	SFSP106	SFGB106	Rhizosphere	Tree	Day_of_Harvest	23	1stPostMPB	Salvage_Harvested	Wet	2000s	4.2	3.9	0.2795	0.1056	2.646780303	NA	NA
1Post_W_25	SFSP107	SFGB107	Rhizosphere	Tree	Day_of_Harvest	25	1stPostMPB	Salvage_Harvested	Wet	2000s	4.4	4.8	0.283331718	0.089	3.183502449	17	104.5108737
1Pre_W_2	SFSP108	SFGB108	Rhizosphere	Tree	Day_of_Harvest	2	1stPreMPB	Non_Salvage_Harvested	Wet	1980s	5.9	4.5	0.3148	0.2755	1.142649728	NA	NA
1Pre_W_6	SFSP109	SFGB109	Rhizosphere	Tree	Day_of_Harvest	6	1stPreMPB	Non_Salvage_Harvested	Wet	1980s	5.9	5.95	0.283096227	0.2935	0.964552733	143	291.4938008
1Pre_W_8	SFSP110	SFGB110	Rhizosphere	Tree	Day_of_Harvest	8	1stPreMPB	Non_Salvage_Harvested	Wet	1980s	6.2	6	0.7078	0.383	1.848041775	NA	NA
1Pre_W_14	SFSP111	SFGB111	Rhizosphere	Tree	Day_of_Harvest	14	1stPreMPB	Non_Salvage_Harvested	Wet	1980s	5.9	4.6	0.119695486	0.1745	0.685934018	80	163.073455
1Pre_W_21	SFSP112	SFGB112	Rhizosphere	Tree	Day_of_Harvest	21	1stPreMPB	Non_Salvage_Harvested	Wet	1980s	6.1	6	0.337030244	0.3171	1.062851605	114	232.3796734
1Pre_W_22	SFSP113	SFGB113	Rhizosphere	Tree	Day_of_Harvest	22	1stPreMPB	Non_Salvage_Harvested	Wet	1980s	6.9	7.05	0.234912313	0.2126	1.10494973	75	152.8813641
1Pre_W_23	SFSP114	SFGB114	Rhizosphere	Tree	Day_of_Harvest	23	1stPreMPB	Non_Salvage_Harvested	Wet	1980s	6.2	6.35	0.214352568	0.1847	1.160544492	70	142.6892731
1Pre_W_25	SFSP115	SFGB115	Rhizosphere	Tree	Day_of_Harvest	25	1stPreMPB	Non_Salvage_Harvested	Wet	1980s	5.8	5.95	0.6379	0.3101	2.057078362	NA	NA
OG_W_4	SFSP140	SFGB140	Rhizosphere	Tree	Day_of_Harvest	4	Old_Forest	Non_Salvage_Harvested	Wet	Non_Logged	4.4	4.8	0.364216185	0.1161	3.13709031	63	248.8938053
OG_W_5	SFSP141	SFGB141	Rhizosphere	Tree	Day_of_Harvest	5	Old_Forest	Non_Salvage_Harvested	Wet	Non_Logged	5.7	5.05	0.567765079	0.1337	4.246560055	17	67.16182048
OG_W_6	SFSP142	SFGB142	Rhizosphere	Tree	Day_of_Harvest	6	Old_Forest	Non_Salvage_Harvested	Wet	Non_Logged	5.3	4.5	0.517090743	0.1059	4.882820988	59	233.091024
OG_W_7	SFSP143	SFGB143	Rhizosphere	Tree	Day_of_Harvest	7	Old_Forest	Non_Salvage_Harvested	Wet	Non_Logged	4.5	4.55	0.34934573	0.0427	8.18139883	5	19.75347661
OG_W_13	SFSP144	SFGB144	Rhizosphere	Tree	Day_of_Harvest	13	Old_Forest	Non_Salvage_Harvested	Wet	Non_Logged	5.1	5.45	0.569	0.1726	3.296639629	NA	NA
OG_W_22	SFSP145	SFGB145	Rhizosphere	Tree	Day_of_Harvest	22	Old_Forest	Non_Salvage_Harvested	Wet	Non_Logged	4.6	4.25	0.955592877	0.1355	7.052345953	22	86.91529709
OG_W_26	SFSP146	SFGB146	Rhizosphere	Tree	Day_of_Harvest	26	Old_Forest	Non_Salvage_Harvested	Wet	Non_Logged	3.8	2.1	0.0659	0.219	0.300913242	NA	NA
OG_W_27	SFSP147	SFGB147	Rhizosphere	Tree	Day_of_Harvest	27	Old_Forest	Non_Salvage_Harvested	Wet	Non_Logged	4.6	4.15	0.3722	0.2073	1.795465509	NA	NA
2Post_W_3	SFSP156	SFGB156	Rhizosphere	Tree	Day_of_Harvest	3	2ndPostMPB	Salvage_Harvested	Wet	2010s	4	3.2	0.153546785	0.0682	2.251419131	11	127.5362319
2Post_W_4	SFSP157	SFGB157	Rhizosphere	Tree	Day_of_Harvest	4	2ndPostMPB	Salvage_Harvested	Wet	2010s	3.5	2.85	0.153612933	NA	NA	26	301.4492754
2Post_W_5	SFSP158	SFGB158	Rhizosphere	Tree	Day_of_Harvest	5	2ndPostMPB	Salvage_Harvested	Wet	2010s	2.8	2.15	0.1256	0.059	2.128813559	NA	NA
2Post_W_9	SFSP159	SFGB159	Rhizosphere	Tree	Day_of_Harvest	9	2ndPostMPB	Salvage_Harvested	Wet	2010s	2.2	1.4	0.0395	0.0479	0.824634656	NA	NA
2Post_W_17	SFSP160	SFGB160	Rhizosphere	Tree	Day_of_Harvest	17	2ndPostMPB	Salvage_Harvested	Wet	2010s	2.5	2.45	0.1538	0.0535	2.874766355	NA	NA
2Post_W_18	SFSP161	SFGB161	Rhizosphere	Tree	Day_of_Harvest	18	2ndPostMPB	Salvage_Harvested	Wet	2010s	3.7	3.4	0.259984186	0.0682	3.812084844	12	139.1304348
2Post_W_25	SFSP162	SFGB162	Rhizosphere	Tree	Day_of_Harvest	25	2ndPostMPB	Salvage_Harvested	Wet	2010s	4	3.35	0.190318516	0.0883	2.155362585	10	115.942029
2Post_W_26	SFSP163	SFGB163	Rhizosphere	Tree	Day_of_Harvest	26	2ndPostMPB	Salvage_Harvested	Wet	2010s	3.2	3.25	0.153574212	0.0543	2.828254369	16	185.5072464
RC_W_9	SFSP164	SFGB164	Rhizosphere	Tree	Day_of_Harvest	9	Recent_Cut	Salvage_Harvested	Wet	2018_orLater	3.2	3.5	0.348233721	0.0526	6.620412951	21	67.00896354
RC_W_15	SFSP165	SFGB165	Rhizosphere	Tree	Day_of_Harvest	15	Recent_Cut	Salvage_Harvested	Wet	2018_orLater	4.5	3.25	0.2281	0.1249	1.826261009	NA	NA
RC_W_16	SFSP166	SFGB166	Rhizosphere	Tree	Day_of_Harvest	16	Recent_Cut	Salvage_Harvested	Wet	2018_orLater	4.8	4.65	0.648892606	0.111	5.845879333	61	194.6450846
RC_W_17	SFSP167	SFGB167	Rhizosphere	Tree	Day_of_Harvest	17	Recent_Cut	Salvage_Harvested	Wet	2018_orLater	4.3	3.65	0.3025	0.1428	2.118347339	NA	NA
RC_W_20	SFSP168	SFGB168	Rhizosphere	Tree	Day_of_Harvest	20	Recent_Cut	Salvage_Harvested	Wet	2018_orLater	4.9	3.8	0.3915	0.1385	2.826714801	NA	NA
RC_W_22	SFSP169	SFGB169	Rhizosphere	Tree	Day_of_Harvest	22	Recent_Cut	Salvage_Harvested	Wet	2018_orLater	4.3	3.35	0.753671726	0.0897	8.402137415	0	0
RC_W_26	SFSP170	SFGB170	Rhizosphere	Tree	Day_of_Harvest	26	Recent_Cut	Salvage_Harvested	Wet	2018_orLater	5	4.5	1.454678897	0.139	10.4653158	23	73.39076959
RC_W_27	SFSP171	SFGB171	Rhizosphere	Tree	Day_of_Harvest	27	Recent_Cut	Salvage_Harvested	Wet	2018_orLater	4.3	3.65	0.737444011	0.0996	7.404056335	20	63.81806051
2Pre_W_1	SFSP84	SFGB84	Rhizosphere	Tree	Day_of_Harvest	1	2ndPreMPB	Non_Salvage_Harvested	Wet	1990s	5.1	4.35	0.5199	0.1041	4.994236311	NA	NA
