SampleID	Original_Label	Corrected_ID	Sample_Type	Tree	Time_Point	Replicate	Treatment_LandUseHistory	Salvage_Harvest_Status	Treatment_Moisture	Sequence_Counts	pH	Total_C_percent	Total_N_percent	Na_waterextract_mgperL	NH4_waterextract_mgperL	K_waterextract_mgperL	Mg_waterextract_mgperL	Ca_waterextract_mgperL	Cl_waterextract_mgperL	NO3_waterextract_mgperL	PO4_waterextract_mgperL	SO4_waterextract_mgperL
RT10	2Pre_W_11	RT10	Root Tip	Tree	Day_of_Harvest	11	2ndPreMPB	Non_Salvage_Harvested	Wet	63946	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RT11	2Pre_W_13	RT11	Root Tip	Tree	Day_of_Harvest	13	2ndPreMPB	Non_Salvage_Harvested	Wet	68495	6.149	4.4505	0.1803	NA	NA	NA	NA	NA	NA	NA	NA	NA
RT12	2Pre_W_20	RT12	Root Tip	Tree	Day_of_Harvest	20	2ndPreMPB	Non_Salvage_Harvested	Wet	37687	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RT13	2Pre_W_21	RT13	Root Tip	Tree	Day_of_Harvest	21	2ndPreMPB	Non_Salvage_Harvested	Wet	26172	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RT21	1Post_W_1	RT21	Root Tip	Tree	Day_of_Harvest	1	1stPostMPB	Salvage_Harvested	Wet	53389	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RT22	1Post_W_5	RT22	Root Tip	Tree	Day_of_Harvest	5	1stPostMPB	Salvage_Harvested	Wet	70241	6.251	1.807	0.1279	2.091344292	0.963186916	2.614770288	1.103974198	6.373417034	1.965334115	8.274641075	0.16100254	3.265491667
RT23	1Post_W_10	RT23	Root Tip	Tree	Day_of_Harvest	10	1stPostMPB	Salvage_Harvested	Wet	88231	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RT24	1Post_W_13	RT24	Root Tip	Tree	Day_of_Harvest	13	1stPostMPB	Salvage_Harvested	Wet	73568	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RT25	1Post_W_14	RT25	Root Tip	Tree	Day_of_Harvest	14	1stPostMPB	Salvage_Harvested	Wet	75149	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RT26	1Post_W_23	RT26	Root Tip	Tree	Day_of_Harvest	23	1stPostMPB	Salvage_Harvested	Wet	74345	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RT27	1Post_W_30	RT27	Root Tip	Tree	Day_of_Harvest	30	1stPostMPB	Salvage_Harvested	Wet	22801	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
