Original_Label	SampleID	Corrected_ID	Sample_Type	Tree	Time_Point	Replicate	Treatment_LandUseHistory	Salvage_Harvest_Status	Treatment_Moisture	Sequence_Counts	Height	MeanCanWidth	RootDryMass	Aboveground_Biomass	RoottoShootRatio
2Pre_W_11	RT10	RT10	Root Tip	Tree	Day_of_Harvest	11	2ndPreMPB	Non_Salvage_Harvested	Wet	63946	3.2	2.6	0.0946	0.057	1.659649123
2Pre_W_13	RT11	RT11	Root Tip	Tree	Day_of_Harvest	13	2ndPreMPB	Non_Salvage_Harvested	Wet	68495	4.9	5.2	0.4996	0.2155	2.318329466
2Pre_W_20	RT12	RT12	Root Tip	Tree	Day_of_Harvest	20	2ndPreMPB	Non_Salvage_Harvested	Wet	37687	2.2	1.5	0.0508	0.0435	1.167816092
2Pre_W_21	RT13	RT13	Root Tip	Tree	Day_of_Harvest	21	2ndPreMPB	Non_Salvage_Harvested	Wet	26172	NA	NA	0.0693	NA	NA
1Post_W_1	RT21	RT21	Root Tip	Tree	Day_of_Harvest	1	1stPostMPB	Salvage_Harvested	Wet	53389	3.7	2.65	0.145	0.0569	2.548330404
1Post_W_5	RT22	RT22	Root Tip	Tree	Day_of_Harvest	5	1stPostMPB	Salvage_Harvested	Wet	70241	3.9	3.15	0.2054	0.0862	2.382830626
1Post_W_10	RT23	RT23	Root Tip	Tree	Day_of_Harvest	10	1stPostMPB	Salvage_Harvested	Wet	88231	2.9	2.9	0.148	0.0599	2.470784641
1Post_W_13	RT24	RT24	Root Tip	Tree	Day_of_Harvest	13	1stPostMPB	Salvage_Harvested	Wet	73568	3.5	3.05	0.1552	0.065	2.387692308
1Post_W_14	RT25	RT25	Root Tip	Tree	Day_of_Harvest	14	1stPostMPB	Salvage_Harvested	Wet	75149	3.6	3.15	0.1913	0.0641	2.984399376
1Post_W_23	RT26	RT26	Root Tip	Tree	Day_of_Harvest	23	1stPostMPB	Salvage_Harvested	Wet	74345	4.2	3.9	0.2795	0.1056	2.646780303
1Post_W_30	RT27	RT27	Root Tip	Tree	Day_of_Harvest	30	1stPostMPB	Salvage_Harvested	Wet	22801	4.6	2.85	0.2151	0.0618	3.480582524
1Pre_W_2	RT28	RT28	Root Tip	Tree	Day_of_Harvest	2	1stPreMPB	Non_Salvage_Harvested	Wet	93143	5.9	4.5	0.3148	0.2755	1.142649728
1Pre_W_5	RT29	RT29	Root Tip	Tree	Day_of_Harvest	5	1stPreMPB	Non_Salvage_Harvested	Wet	73079	5.6	6.2	0.4565	0.3315	1.377073906
1Pre_W_8	RT30	RT30	Root Tip	Tree	Day_of_Harvest	8	1stPreMPB	Non_Salvage_Harvested	Wet	114689	6.2	6	0.7078	0.383	1.848041775
1Pre_W_17	RT31	RT31	Root Tip	Tree	Day_of_Harvest	17	1stPreMPB	Non_Salvage_Harvested	Wet	83522	7.5	5.65	0.6983	0.3018	2.313783963
1Pre_W_19	RT32	RT32	Root Tip	Tree	Day_of_Harvest	19	1stPreMPB	Non_Salvage_Harvested	Wet	67503	5	6.35	0.4123	0.4528	0.910556537
1Pre_W_22	RT33	RT33	Root Tip	Tree	Day_of_Harvest	22	1stPreMPB	Non_Salvage_Harvested	Wet	55693	6.9	7.05	0.234912313	0.2126	1.10494973
1Pre_W_27	RT34	RT34	Root Tip	Tree	Day_of_Harvest	27	1stPreMPB	Non_Salvage_Harvested	Wet	105152	3.6	3.2	0.2007	0.1729	1.160786582
OG_W_8	RT56	RT56	Root Tip	Tree	Day_of_Harvest	8	Old_Forest	Non_Salvage_Harvested	Wet	86004	4.4	4.85	0.3216	NA	NA
OG_W_12	RT57	RT57	Root Tip	Tree	Day_of_Harvest	12	Old_Forest	Non_Salvage_Harvested	Wet	29080	6	5.25	0.3132	0.1514	2.068692206
OG_W_13	RT58	RT58	Root Tip	Tree	Day_of_Harvest	13	Old_Forest	Non_Salvage_Harvested	Wet	89529	5.1	5.45	0.569	0.1726	3.296639629
OG_W_19	RT59	RT59	Root Tip	Tree	Day_of_Harvest	19	Old_Forest	Non_Salvage_Harvested	Wet	99514	3.8	2.95	0.2079	0.052	3.998076923
OG_W_23	RT60	RT60	Root Tip	Tree	Day_of_Harvest	23	Old_Forest	Non_Salvage_Harvested	Wet	82649	5.8	4.4	0.3019	0.1703	1.772753964
OG_W_26	RT61	RT61	Root Tip	Tree	Day_of_Harvest	26	Old_Forest	Non_Salvage_Harvested	Wet	30156	3.8	2.1	0.0659	0.219	0.300913242
OG_W_27	RT62	RT62	Root Tip	Tree	Day_of_Harvest	27	Old_Forest	Non_Salvage_Harvested	Wet	73719	4.6	4.15	0.3722	0.2073	1.795465509
2Post_W_5	RT69	RT69	Root Tip	Tree	Day_of_Harvest	5	2ndPostMPB	Salvage_Harvested	Wet	55306	2.8	2.15	0.1256	0.059	2.128813559
2Post_W_9	RT70	RT70	Root Tip	Tree	Day_of_Harvest	9	2ndPostMPB	Salvage_Harvested	Wet	60553	2.2	1.4	0.0395	0.0479	0.824634656
2Post_W_17	RT71	RT71	Root Tip	Tree	Day_of_Harvest	17	2ndPostMPB	Salvage_Harvested	Wet	45992	2.5	2.45	0.1538	0.0535	2.874766355
2Post_W_21	RT72	RT72	Root Tip	Tree	Day_of_Harvest	21	2ndPostMPB	Salvage_Harvested	Wet	55669	2.7	2.2	0.176	0.0823	2.138517618
2Post_W_23	RT73	RT73	Root Tip	Tree	Day_of_Harvest	23	2ndPostMPB	Salvage_Harvested	Wet	63850	2	1.8	0.0429	0.0253	1.695652174
