Genus	SFSP100	SFSP101	SFSP102	SFSP103	SFSP104	SFSP105	SFSP106	SFSP107	SFSP108	SFSP109	SFSP110	SFSP111	SFSP112	SFSP113	SFSP114	SFSP115	SFSP140	SFSP141	SFSP142	SFSP143	SFSP144	SFSP145	SFSP146	SFSP147	SFSP156	SFSP157	SFSP158	SFSP159	SFSP160	SFSP161	SFSP162	SFSP163	SFSP164	SFSP165	SFSP166	SFSP167	SFSP168	SFSP169	SFSP170	SFSP171	SFSP84	SFSP85	SFSP86	SFSP87	SFSP88	SFSP89	SFSP90	SFSP91
Thelephora	35	0	66	2366	0	25	0	0	774	72	0	5102	126	182	0	0	0	21	22	0	46	65	0	84	54	0	0	0	0	0	23	0	2514	1129	2025	2189	2353	64	0	0	313	227	2598	108	1521	53	1234	1059
Wilcoxina	7	25	24	11	13	0	0	27	40	30	0	9	17	16	17	15	0	0	8	0	9	24	7	35	585	1311	15	15	246	2461	1327	792	6	18	0	13	0	25	12	9	12	23	12	24	21	11	11	12
Rhizopogon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Piloderma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wilcoxina	47	7	52	47	18	0	36	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Polyozellus	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Piloderma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhizopogon	0	0	9	22	0	139	0	0	0	11	0	0	9	0	0	0	0	0	0	0	0	11	6	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	6	8	14	0	74	22	0	0
Wilcoxina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thelephora	0	429	0	1639	69	0	1047	66	0	0	0	4888	0	0	2104	0	0	0	0	0	0	0	0	0	0	24	102	39	51	39	0	0	0	517	2002	0	0	0	0	3135	0	0	0	0	0	0	0	0
