Sample	Sample_Type	Tree	Time_Point	Replicate	Treatment_LandUseHistory	MPB_Impacted	Treatment_Moisture	Acephala_sp	Agaricus_agrinferus	Agaricus_arvensis	Agaricus_zhangyensis	Alternaria_ellipsoidea	Alternaria_multirostrata	Alternaria_nepalensis	Amanita_pseudopantherina	Antrodiella_faginea	Apiotrichum_sporotrichoides	Apseudocercosporella_trigonotidis	Ascochyta_medicaginicola_var._macrospora	Aspergillus_sigurros	Aureobasidium_castaneae	Auricularia_subglabra	Auricularia_submesenterica	Barrenia_panici	Basidioascus_undulatus	Beauveria_varroae	Bergerella_atrofusca	Bovista_cretacea	Cadophora_domestica	Calonarius_caesiocinctus	Calvatia_fragilis	Candida_orthopsilosis	Candida_pseudoglaebosa	Candolleomyces_cacao	Ceratobasidiaceae_sp	Chaetomium_cervicicola	Chaetospermum_sp	Chalara_recta	Chroogomphus_pakistanicus	Chrysozyma_pseudogriseoflava	Cladophialophora_humicola	Cladosporium_aphidis	Clarireedia_paspali	Clitopilus_brunneiceps	Clonostachys_divergens	Coleophoma_camelliae	Coniochaeta_vineae	Coprinellus_sclerocystidiosus	Coprinopsis_marcescibilis	Cortinarius_albidipes	Cortinarius_alboadustus	Cortinarius_brunneoaffinis	Cortinarius_cepistipes	Cortinarius_clarisordidus	Cortinarius_collangustus	Cortinarius_deceptivissimus	Cortinarius_decipiens	Cortinarius_kauffmanianus	Cortinarius_majorinus	Cortinarius_miwok	Cortinarius_mucosus	Cortinarius_parvannulatus	Cortinarius_paululus	Cortinarius_subcarneinatus	Cortinarius_turgidipes	Cristulariella_depraedans	Curvularia_siddiquii	Cutaneotrichosporon_dermatis	Cyphellophora_eucalypti	Cyphellophora_vermispora	Cystobasidium_raffinophilum	Cystobasidium_terricola	Darksidea_zeta	Debaryomyces_robertsiae	Didymosphaeria_variabile	Diversispora_spurca	Dothiora_europaea	Emericellopsis_glabra	Entoloma_aurorae-borealis	Entoloma_fuscohebes	Entoloma_tibiicystidiatum	Entomocorticium_portiae	Epicoccum_thailandicum	Erysiphe_polygoni	Filobasidium_magnum	Filobasidium_oeirense	Fonsecaea_nubica	Fontanospora_fusiramosa	Funneliformis_caledonium	Furcasterigmium_furcatum	Fusarium_algeriense	Fusarium_brevicatenulatum	Fusarium_croci	Fusarium_nelsonii	Gaeumannomyces_hyphopodioides	Ganoderma_carocalcareum	Gliomastix_roseogrisea	Gloeopycnis_protuberans	Gymnopilus_aurantiophyllus	Gyoerffyella_sp	Hanseniaspora_nectarophila	Harzia_acremonioides	Hebeloma_erebium	Hebeloma_pungens	Helotiales_sp	Humicola_zollerniae	Hyaloscyphaceae_sp	Hydnum_pallidomarginatum	Hydnum_subolympicum	Hygrophorus_fuscoalboides	Hypoderma_siculum	Ilyonectria_mors-panacis	Inocybe_purpureobadia	Inocybe_silvae-herbaceae	Juncaceicola_padellana	Knufia_tsunedae	Laccaria_fagacicola	Lachnum_impudicum	Lactarius_aurantiacopallens	Lactarius_miniatosporus	Lentithecium_pseudoclioninum	Leohumicola_atra	Leucosporidium_escuderoi	Linnemannia_amoeboidea	Linnemannia_camargensis	Lophiostoma_rosae	Lycoperdon_echinatum	Lycoperdon_ericaeum	Lycoperdon_nigrescens	Lyophyllum_shimeji	Macroconia_bulbipes	Mallocybe_sp	Mariannaea_camptospora	Megalocystidium_perticatum	Metapochonia_hahajimaensis	Microbotryum_violaceum	Microdochium_lycopodinum	Minimelanolocus_clavatus	Morchella_tasmanica	Mortierella_alliacea	Mortierella_fluviae	Mortierella_wuyishanensis	Mrakia_niccombsii	Mycena_megaspora	Mycodidymella_aesculi	Naganishia_bhutanensis	Naganishia_diffluens	Naganishia_vishniacii	Neoantrodia_infirma	Neoantrodia_serialis	Neoascochyta_tardicrescens	Neocucurbitaria_aetnensis	Neocucurbitaria_rhamnioides	Neodidymelliopsis_negundinis	Neofabraea_salicina	Neophaeomoniella_constricta	Nodulosphaeria_thalictri	Oculimacula_yallundae	Odontia_sp	Panaeolina_foenisecii	Papiliotrema_nemorosa	Parabartalinia_lateralis	Paraboeremia_selaginellae	Paraleptosphaeria_nitschkei	Paraphaeosphaeria_neglecta	Paraphoma_ledniceana	Paraphoma_pye	Penicillium_alutaceum	Penicillium_coprobium	Penicillium_janczewskii	Penicillium_madriti	Penicillium_oregonense	Penicillium_vasconiae	Peziza_montirivicola	Phenoliferia_psychrophenolica	Phialocephala_amethystea	Phialocephala_helenae	Phlebia_rufa	Phlebiopsis_sp	Phlegmacium_subfoetens	Piloderma_bicolor	Piloderma_lanatum	Piloderma_sp	Plectosphaerella_melonis	Pluteus_kovalenkoi	Polyozellus_mariae	Psathyrella_carinthiaca	Pseudeurotium_desertorum	Pseudofusicoccum_olivaceum	Pseudogymnoascus_roseus	Pseudopezicula_betulae	Pseudosperma_emberizanum	Pseudoteratosphaeria_perpendicularis	Pyrenochaetopsis_kuksensis	Rhizopogon_ellenae	Rhizopogon_sp	Rhodosporidiobolus_azoricus	Rhodotorula_dairenensis	Rhodotorula_kratochvilovae	Rickenella_indica	Russula_cremicolor	Russula_indocatillus	Russula_pseudotsugarum	Sarcodon_lidongensis	Satchmopsis_metrosideri	Sclerostagonospora_cycadis	Sebacina_sp	Selenophoma_mahoniae	Septoriella_hibernica	Septoriella_oudemansii	Serendipita_sp	Serendipita_vermifera	Serendipitaceae_sp	Simplicillium_lanosoniveum	Solicoccozyma_aeria	Stagonospora_forlicesenensis	Strobilurus_conigenoides	Strobilurus_pachycystidiatus	Subulicystidium_perlongisporum	Suillus_luteus	Symmetrospora_proteacearum	Talaromyces_oumae-annae	Thaxterogaster_argyrionus	Thaxterogaster_rhipiduranus	Thelephora_atra	Thelephora_caryophyllea	Thelephora_sp	Thelephoraceae_sp	Thelonectria_blackeriella	Thyronectria_coryli	Tolypocladium_geodes	Tomentella_lammiensis	Tomentella_sp	Tomentellopsis_echinospora	Tomentellopsis_sp	Torula_lancangjiangensis	Trichocladium_antarcticum	Trichoderma_atlanticum	Trichoderma_austrokoningii	Trichoderma_ochroleucum	Trichoderma_sinense	Tricholoma_badicephalum	Tricholoma_bonii	Tricholoma_olivaceum	Tricholoma_populinum	Tricladium_marylandicum	Tubaria_similis	Umbelopsis_angularis	Unknown	Vacuiphoma_bulgarica	Venturia_albae	Venturia_catenospora	Venturia_mandshurica	Venturia_saliciperda	Verticillium_albo-atrum	Vishniacozyma_psychrotolerans	Vuilleminia_alni	Wilcoxina_rehmii	Xenodidymella_camporesii	Xenopenidiella_nigrescens
SFSP100	Rhizosphere	Tree	Day_of_Harvest	6	1stPostMPB	MPB	Wet	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	10	0	2	0	0	0	14	0	0	374	0	0	15	0	0	5034	134	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	187	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	182	0	31	0	0	0	220	194	669	6011	0	25	0	0	0	31	3	0	0	0	0	0	0	0	28	0	0	257	0	5	66	57	0	0	0	0	0	0	0	6	0	0	22	0	0	0	15	482	0	81	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	1032	0	515	0	0	0	0	0	8	0	267	279	0	0	0	0	0	277	0	0	0	0	0	0	0	2	0	2299	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24820	0	15	0	0	0	6	0	0	54	0	0
SFSP101	Rhizosphere	Tree	Day_of_Harvest	8	1stPostMPB	MPB	Wet	813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	514	0	0	0	23	0	2	0	0	0	0	0	0	297	0	50	42	0	0	4038	0	31	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	15	0	0	0	0	0	0	0	0	0	0	457	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	387	0	17	0	0	0	1038	1160	1315	11039	0	13	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	725	0	143	182	0	0	0	0	0	0	0	0	7	0	0	158	0	0	0	67	718	0	23	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1305	0	1340	0	0	0	0	0	57	0	0	29	0	0	0	0	0	1407	0	0	0	0	0	0	0	0	0	5387	0	0	0	0	0	0	0	0	0	0	0	429	0	0	0	4	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	36400	0	0	56	0	0	0	0	0	32	0	0
SFSP102	Rhizosphere	Tree	Day_of_Harvest	13	1stPostMPB	MPB	Wet	947	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	91	0	4	0	0	0	19	0	0	523	0	27	159	0	0	11859	0	119	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	3	0	0	0	0	0	0	0	0	0	0	1223	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	517	0	59	0	0	0	224	497	1544	6593	0	21	19	0	0	0	0	0	0	0	0	0	0	0	105	0	0	593	0	20	19	0	0	0	0	0	0	0	0	14	0	15	30	0	0	0	13	1906	0	309	0	1431	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	1633	0	1615	0	0	0	0	0	9	0	0	287	6	0	0	0	0	651	0	0	0	0	0	0	0	2585	0	6177	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	49615	0	28	0	0	175	3	0	0	76	0	0
SFSP103	Rhizosphere	Tree	Day_of_Harvest	15	1stPostMPB	MPB	Wet	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	5	0	0	0	0	0	0	0	0	111	0	0	6	0	0	523	0	16	432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	8	0	208	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	12	0	0	0	322	0	3	0	0	0	120	172	569	5439	0	4	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	45	0	43	10	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	9	152	0	6	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	293	0	568	0	0	0	0	0	22	0	7	4	0	0	0	0	0	203	0	0	0	0	0	0	0	0	0	1273	3	0	0	0	0	0	0	0	0	0	0	4005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	33248	0	2	0	0	0	0	0	0	58	0	0
SFSP104	Rhizosphere	Tree	Day_of_Harvest	18	1stPostMPB	MPB	Wet	550	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	195	0	0	0	55	0	0	0	0	0	6	0	0	476	0	0	31	0	204	9528	57	128	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	7	0	0	0	0	0	0	0	0	3	0	676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	253	0	51	0	0	0	365	753	959	5635	0	24	9	0	0	0	0	0	0	0	0	0	0	0	81	0	0	240	0	138	42	0	0	0	0	0	0	0	0	12	0	0	267	0	0	0	25	851	0	8	0	60	0	27	3	0	0	0	0	0	0	0	0	0	0	0	0	8	0	3	3	0	3835	0	1264	0	0	0	0	0	12	0	30	97	2	0	0	0	0	551	0	0	0	0	0	0	0	5	0	4256	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	6	0	0	0	0	0	0	8	0	0	0	4	0	0	0	0	0	17	34399	0	8	0	0	0	0	0	0	31	0	0
SFSP105	Rhizosphere	Tree	Day_of_Harvest	22	1stPostMPB	MPB	Wet	480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	15	0	0	0	0	0	8	0	0	211	0	0	5	0	112	17164	131	19	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	5	0	0	7	0	0	0	0	0	0	0	0	207	0	0	6	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	67	0	27	0	0	0	227	271	639	16093	0	13	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	307	0	21	0	0	50	0	0	0	0	0	0	8	0	0	10	0	0	0	12	202	0	0	0	65	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	3	0	593	0	287	0	0	0	0	0	267	0	17	34	0	0	0	0	0	214	0	0	0	0	0	0	0	0	0	2102	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	20095	0	0	0	0	0	0	0	0	0	0	0
SFSP106	Rhizosphere	Tree	Day_of_Harvest	23	1stPostMPB	MPB	Wet	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	60	0	2	0	0	0	0	0	0	172	0	0	20	0	0	12541	0	29	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1194	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	13	0	0	0	223	0	168	0	0	0	347	243	574	11253	0	28	4	0	0	0	0	0	0	0	0	0	0	0	35	0	0	95	0	247	80	0	0	0	0	0	0	0	0	10	0	3	84	0	0	0	35	258	0	0	10	10	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	812	0	1460	0	0	0	0	0	24	0	11	82	0	0	0	0	0	207	0	0	0	0	0	0	0	0	0	4322	0	0	0	0	0	3	0	0	0	0	0	1047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	54776	0	0	0	0	0	0	0	0	57	0	0
SFSP107	Rhizosphere	Tree	Day_of_Harvest	25	1stPostMPB	MPB	Wet	858	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	87	0	6	0	0	0	8	0	0	740	0	5	17	0	0	23673	2	195	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	25	4	0	0	0	11	0	0	0	0	0	0	365	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	9	0	35	0	0	0	0	29	0	0	0	155	0	76	0	0	0	881	815	1384	14333	0	34	14	0	0	0	0	0	0	0	0	0	0	0	26	0	0	618	0	19	7	4	0	0	0	0	0	0	0	8	0	0	45	0	0	0	38	4268	0	62	0	217	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	1981	0	1004	0	0	0	0	0	13	0	26	69	0	0	0	0	0	760	0	0	0	0	0	0	0	0	0	4853	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	7	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	16	48801	0	0	7	0	0	10	0	0	316	0	0
SFSP108	Rhizosphere	Tree	Day_of_Harvest	2	1stPreMPB	Non_MPB	Wet	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	9	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	9	0	0	0	0	0	0	354	21	21309	0	11	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	4	0	26	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3076	0	71	0	0	0	0	0	6	0	0	6	0	0	3	0	0	398	0	0	0	0	0	0	5	0	0	966	0	0	0	0	0	0	0	0	0	0	0	1230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31147	0	0	0	0	0	0	0	0	40	0	0
SFSP109	Rhizosphere	Tree	Day_of_Harvest	6	1stPreMPB	Non_MPB	Wet	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	209	0	0	36	0	0	35	0	29	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	13	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	412	41	11014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	94	0	156	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	436	0	43	0	0	0	0	0	11	0	0	0	0	0	0	0	0	763	0	0	0	0	0	0	0	0	0	1108	0	0	0	0	0	0	0	0	0	0	0	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	38366	0	15	0	0	0	0	0	0	41	0	0
