Sample	Sample_Type	Tree	Time_Point	Replicate	Treatment_LandUseHistory	Salvage_Harvest_Status	Treatment_Moisture	Acephala	Achroiostachys	Agaricus	Alternaria	Amanita	Antrodiella	Apiotrichum	Apseudocercosporella	Ascochyta	Aspergillus	Aureobasidium	Auricularia	Barrenia	Basidioascus	Beauveria	Bergerella	Bovista	Cadophora	Calonarius	Calvatia	Candida	Candolleomyces	Ceratobasidiaceae_gen_Incertae_sedis	Chaetomium	Chaetospermum	Chalara	Chroogomphus	Chrysozyma	Cladophialophora	Cladosporium	Clarireedia	Clitopilus	Clonostachys	Coleophoma	Coniochaeta	Coprinellus	Coprinopsis	Cortinarius	Cosmospora	Cristulariella	Curvularia	Cutaneotrichosporon	Cyphellophora	Cystobasidium	Darksidea	Debaryomyces	Didymosphaeria	Diversispora	Dothiora	Emericellopsis	Entoloma	Entomocorticium	Epicoccum	Erysiphe	Filobasidium	Fonsecaea	Fontanospora	Funneliformis	Furcasterigmium	Fusarium	Gaeumannomyces	Ganoderma	Gliomastix	Gloeopycnis	Gymnopilus	Gyoerffyella	Hanseniaspora	Harzia	Hebeloma	Helotiales_gen_Incertae_sedis	Humicola	Hyaloscyphaceae_gen_Incertae_sedis	Hydnum	Hygrophorus	Hypoderma	Ilyonectria	Inocybe	Juncaceicola	Knufia	Laccaria	Lachnum	Lactarius	Lentithecium	Leohumicola	Leucosporidium	Linnemannia	Lophiostoma	Lycoperdon	Lyophyllum	Macroconia	Mallocybe	Mariannaea	Megalocystidium	Metapochonia	Microbotryum	Microdochium	Minimelanolocus	Morchella	Mortierella	Mrakia	Mucor	Mycena	Mycodidymella	Myrtapenidiella	Naganishia	Neoantrodia	Neoascochyta	Neocucurbitaria	Neodidymelliopsis	Neofabraea	Neophaeomoniella	Nigrospora	Nodulosphaeria	Oculimacula	Odontia	Panaeolina	Papiliotrema	Parabartalinia	Paraboeremia	Paraleptosphaeria	Paraphaeosphaeria	Paraphoma	Penicillium	Pezicula	Peziza	Phenoliferia	Phialocephala	Phlebia	Phlebiopsis	Phlegmacium	Piloderma	Plectosphaerella	Pluteus	Polyozellus	Psathyrella	Pseudeurotium	Pseudofusicoccum	Pseudogymnoascus	Pseudopezicula	Pseudophaeomoniella	Pseudosperma	Pseudoteratosphaeria	Pyrenochaetopsis	Rhizopogon	Rhodosporidiobolus	Rhodotorula	Rickenella	Russula	Sarcodon	Satchmopsis	Sclerostagonospora	Sebacina	Selenophoma	Septoriella	Serendipita	Serendipitaceae_gen_Incertae_sedis	Simplicillium	Solicoccozyma	Stagonospora	Stagonosporopsis	Strobilurus	Subulicystidium	Suillus	Symmetrospora	Talaromyces	Thaxterogaster	Thelephora	Thelephoraceae_gen_Incertae_sedis	Thelonectria	Thyronectria	Tolypocladium	Tomentella	Tomentellopsis	Torula	Trichocladium	Trichoderma	Tricholoma	Tricladium	Tubaria	Umbelopsis	Unknown	Vacuiphoma	Venturia	Verticillium	Vishniacozyma	Vuilleminia	Wilcoxina	Xenodidymella	Xenopenidiella
RT10	Root Tip	Tree	Day_of_Harvest	11	2ndPreMPB	Non_Salvage_Harvested	Wet	3388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	23	13	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	58	0	0	0	0	0	853	0	0	0	0	0	0	0	0	0	0	33723	0	0	0	0	0	0	0	0	0	0	0	0	0	12749	0	2	0	0	0	105	0	0
RT11	Root Tip	Tree	Day_of_Harvest	13	2ndPreMPB	Non_Salvage_Harvested	Wet	7641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	86	0	0	99	0	21	20	0	0	0	0	0	0	0	0	0	0	0	35	0	0	12	2	0	0	0	0	0	0	0	506	0	0	0	14	0	0	0	0	0	0	0	3	0	42	0	27	0	0	0	0	249	0	0	0	0	0	0	12	2548	2361	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	408	2569	0	0	0	0	0	0	0	23	0	0	0	0	164	0	26	0	0	0	0	0	8187	0	145	0	0	0	649	0	0	0	0	0	6999	0	73	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	91	18070	0	10	0	0	0	2727	0	0
RT12	Root Tip	Tree	Day_of_Harvest	20	2ndPreMPB	Non_Salvage_Harvested	Wet	2298	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	26851	0	0	0	0	0	0	0	0
RT13	Root Tip	Tree	Day_of_Harvest	21	2ndPreMPB	Non_Salvage_Harvested	Wet	4898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0	0	0	0	264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16785	0	0	0	0	0	221	0	0
RT21	Root Tip	Tree	Day_of_Harvest	1	1stPostMPB	Salvage_Harvested	Wet	12626	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	13	0	59	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	145	0	1306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	2	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	302	0	4	0	0	0	0	0	8	0	0	0	0	0	128	0	0	0	0	0	0	0	244	0	0	0	0	0	0	0	0	13283	0	0	0	0	0	0	0	0	4	0	0	0	0	12777	0	0	0	0	0	0	0	0
RT22	Root Tip	Tree	Day_of_Harvest	5	1stPostMPB	Salvage_Harvested	Wet	7149	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	38	0	0	0	0	0	0	0	0	207	0	0	0	0	0	115	0	336	0	0	0	0	6	0	0	0	0	127	0	0	0	0	0	0	0	21	0	0	22	91	0	0	0	641	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	42	9	825	0	0	228	141	11984	0	5	0	0	0	0	0	0	0	0	0	0	59	0	126	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	104	0	160	0	0	0	0	0	0	0	0	0	0	0	0	277	0	70	0	0	0	0	0	8740	0	0	0	0	0	112	0	0	0	0	0	0	0	942	0	47	4	0	0	0	0	0	40	0	0	0	0	0	0	0	0	74	0	0	0	6	9381	0	139	0	0	0	7907	0	0
RT23	Root Tip	Tree	Day_of_Harvest	10	1stPostMPB	Salvage_Harvested	Wet	408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	23	0	0	2	0	0	24	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	37	57	328	0	0	2	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	23	19	0	0	0	0	0	0	0	3	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	14213	0	0	0	0	0	0	0	0	0	0	0	0	5	55010	0	0	0	0	0	37	0	0
RT24	Root Tip	Tree	Day_of_Harvest	13	1stPostMPB	Salvage_Harvested	Wet	26787	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	35	0	10	0	0	0	0	0	427	0	0	90	0	0	27	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	950	0	0	0	56	0	9	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	69	0	4	0	0	397	86	1885	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	37	0	26	82	604	0	0	0	0	0	0	0	0	0	0	0	0	75	0	12	0	0	0	0	0	5520	0	111	9	0	0	222	0	0	0	12	0	3999	0	55	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	3	10071	0	63	0	0	0	870	0	0
RT25	Root Tip	Tree	Day_of_Harvest	14	1stPostMPB	Salvage_Harvested	Wet	11178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	3	0	16	7	1074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	65	0	196	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	98	0	0	0	0	10	0	0	0	70	0	0	0	0	0	0	0	3	0	0	0	0	335	0	0	0	0	0	0	0	92	0	0	0	0	0	29	0	0	0	0	0	28	0	30	0	0	0	0	0	0	0	0	11294	0	0	0	0	0	0	0	0	0	0	0	0	0	32867	0	0	0	0	0	26	0	0
RT26	Root Tip	Tree	Day_of_Harvest	23	1stPostMPB	Salvage_Harvested	Wet	1288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	24	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	867	0	0	0	0	0	0	0	0	0	0	0	0	0	56582	0	0	0	0	0	7	0	0
