#NAME	Original_Label	Corrected_ID	Original_Label_Combined	Sample_Type	Tree	Time_Point	Replicate	Treatment_LandUseHistory	Salvage_Harvest_Status	Treatment_Moisture
SFSP100	1Post_W_06	SFGB100	"1Post_W_06, Rhizosphere"	Rhizosphere	Tree	Day_of_Harvest	6	1stPostMPB	Salvage_Harvested	Wet
SFSP101	1Post_W_08	SFGB101	"1Post_W_08, Rhizosphere"	Rhizosphere	Tree	Day_of_Harvest	8	1stPostMPB	Salvage_Harvested	Wet
SFSP102	1Post_W_13	SFGB102	"1Post_W_13, Rhizosphere"	Rhizosphere	Tree	Day_of_Harvest	13	1stPostMPB	Salvage_Harvested	Wet
SFSP103	1Post_W_15	SFGB103	"1Post_W_15, Rhizosphere"	Rhizosphere	Tree	Day_of_Harvest	15	1stPostMPB	Salvage_Harvested	Wet
SFSP104	1Post_W_18	SFGB104	"1Post_W_18, Rhizosphere"	Rhizosphere	Tree	Day_of_Harvest	18	1stPostMPB	Salvage_Harvested	Wet
SFSP105	1Post_W_22	SFGB105	"1Post_W_22, Rhizosphere"	Rhizosphere	Tree	Day_of_Harvest	22	1stPostMPB	Salvage_Harvested	Wet
SFSP106	1Post_W_23	SFGB106	"1Post_W_23, Rhizosphere"	Rhizosphere	Tree	Day_of_Harvest	23	1stPostMPB	Salvage_Harvested	Wet
SFSP107	1Post_W_25	SFGB107	"1Post_W_25, Rhizosphere"	Rhizosphere	Tree	Day_of_Harvest	25	1stPostMPB	Salvage_Harvested	Wet
SFSP108	1Pre_W_02	SFGB108	"1Pre_W_02, Rhizosphere"	Rhizosphere	Tree	Day_of_Harvest	2	1stPreMPB	Non_Salvage_Harvested	Wet
SFSP109	1Pre_W_06	SFGB109	"1Pre_W_06, Rhizosphere"	Rhizosphere	Tree	Day_of_Harvest	6	1stPreMPB	Non_Salvage_Harvested	Wet
SFSP110	1Pre_W_08	SFGB110	"1Pre_W_08, Rhizosphere"	Rhizosphere	Tree	Day_of_Harvest	8	1stPreMPB	Non_Salvage_Harvested	Wet
SFSP111	1Pre_W_14	SFGB111	"1Pre_W_14, Rhizosphere"	Rhizosphere	Tree	Day_of_Harvest	14	1stPreMPB	Non_Salvage_Harvested	Wet
SFSP112	1Pre_W_21	SFGB112	"1Pre_W_21, Rhizosphere"	Rhizosphere	Tree	Day_of_Harvest	21	1stPreMPB	Non_Salvage_Harvested	Wet
SFSP113	1Pre_W_22	SFGB113	"1Pre_W_22, Rhizosphere"	Rhizosphere	Tree	Day_of_Harvest	22	1stPreMPB	Non_Salvage_Harvested	Wet
SFSP114	1Pre_W_23	SFGB114	"1Pre_W_23, Rhizosphere"	Rhizosphere	Tree	Day_of_Harvest	23	1stPreMPB	Non_Salvage_Harvested	Wet
SFSP115	1Pre_W_25	SFGB115	"1Pre_W_25, Rhizosphere"	Rhizosphere	Tree	Day_of_Harvest	25	1stPreMPB	Non_Salvage_Harvested	Wet
SFSP140	OG_W_04	SFGB140	"OG_W_04, Rhizosphere"	Rhizosphere	Tree	Day_of_Harvest	4	Old_Forest	Non_Salvage_Harvested	Wet
SFSP141	OG_W_05	SFGB141	"OG_W_05, Rhizosphere"	Rhizosphere	Tree	Day_of_Harvest	5	Old_Forest	Non_Salvage_Harvested	Wet
SFSP142	OG_W_06	SFGB142	"OG_W_06, Rhizosphere"	Rhizosphere	Tree	Day_of_Harvest	6	Old_Forest	Non_Salvage_Harvested	Wet
SFSP143	OG_W_07	SFGB143	"OG_W_07, Rhizosphere"	Rhizosphere	Tree	Day_of_Harvest	7	Old_Forest	Non_Salvage_Harvested	Wet
SFSP144	OG_W_13	SFGB144	"OG_W_13, Rhizosphere"	Rhizosphere	Tree	Day_of_Harvest	13	Old_Forest	Non_Salvage_Harvested	Wet
SFSP145	OG_W_22	SFGB145	"OG_W_22, Rhizosphere"	Rhizosphere	Tree	Day_of_Harvest	22	Old_Forest	Non_Salvage_Harvested	Wet
SFSP146	OG_W_26	SFGB146	"OG_W_26, Rhizosphere"	Rhizosphere	Tree	Day_of_Harvest	26	Old_Forest	Non_Salvage_Harvested	Wet
SFSP147	OG_W_27	SFGB147	"OG_W_27, Rhizosphere"	Rhizosphere	Tree	Day_of_Harvest	27	Old_Forest	Non_Salvage_Harvested	Wet
SFSP156	2Post_W_03	SFGB156	"2Post_W_03, Rhizosphere"	Rhizosphere	Tree	Day_of_Harvest	3	2ndPostMPB	Salvage_Harvested	Wet
SFSP157	2Post_W_04	SFGB157	"2Post_W_04, Rhizosphere"	Rhizosphere	Tree	Day_of_Harvest	4	2ndPostMPB	Salvage_Harvested	Wet
SFSP158	2Post_W_05	SFGB158	"2Post_W_05, Rhizosphere"	Rhizosphere	Tree	Day_of_Harvest	5	2ndPostMPB	Salvage_Harvested	Wet
SFSP159	2Post_W_09	SFGB159	"2Post_W_09, Rhizosphere"	Rhizosphere	Tree	Day_of_Harvest	9	2ndPostMPB	Salvage_Harvested	Wet
