Sample	Land_Use_History	Salvage_Harvest_Status	Total C (%)	Total N (%)	Na (mg/L)	NH4  (mg/L)	K  (mg/L)	Mg  (mg/L)	Ca  (mg/L)	Cl  (mg/L)	NO3  (mg/L)	PO4  (mg/L)	SO4  (mg/L)	pH
1Post_W_02	1st Post-MPB	Salvage_Harvested	1.88	0.13	1.06	0.81	2.28	0.86	4.48	0.94	11.52	0.31	1.11	5.855
1Post_W_19	1st Post-MPB	Salvage_Harvested	1.57	0.12	0.85	0.47	2.98	1.14	6.29	0.87	9.94	0.52	1.22	5.87
1Post_W_26	1st Post-MPB	Salvage_Harvested	2.71	0.17	1.17	0.29	2.19	0.78	4.3	1.14	8.09	0.09	2	5.849
OG_W_01	Old Growth	Non_Salvage_Harvested	4.03	0.19	2.23	2.18	3.42	0.73	3.96	2.03	10.53	0.25	3.41	5.602
OG_W_16	Old Growth	Non_Salvage_Harvested	3.89	0.18	1.97	1.1	2.79	0.78	4.76	1.9	11.7	0.17	3.18	5.651
OG_W_29	Old Growth	Non_Salvage_Harvested	3.51	0.17	1.64	1.72	2.05	0.53	7.5	1.66	10.34	0.32	2.51	5.582
2Pre_W_02	2nd Pre-MPB	Non_Salvage_Harvested	3.3	0.14	2.22	1.46	3.17	1.29	9.11	1.8	9.63	0.18	3.4	5.594
2Pre_W_16	2nd Pre-MPB	Non_Salvage_Harvested	3.77	0.15	1.36	0.96	2.53	1.13	6.66	1.11	9.56	0.11	2.09	5.344
2Pre_W_30	2nd Pre-MPB	Non_Salvage_Harvested	4.79	0.18	1.81	0.94	3.19	1.4	8.22	1.57	10.97	0.26	3.23	5.298
RC_W_01	Recent Cut	Salvage_Harvested	7.27	0.26	2.18	0.67	3.36	1.74	10.45	1.69	15.88	0.49	2.07	5.53
RC_W_14	Recent Cut	Salvage_Harvested	4.73	0.21	1.68	0.53	3.28	1.69	10.49	1.32	16.37	0.4	2.12	5.48
RC_W_30	Recent Cut	Salvage_Harvested	6.57	0.24	2.15	1.26	2.48	1.79	10.02	1.45	14.56	0.13	2.67	5.718
1Pre_W_07	1st Pre-MPB	Non_Salvage_Harvested	11.13	0.58	2.03	2.41	3.52	2.21	13.25	1.89	24.64	0.5	3.94	5.445
1Pre_W_13	1st Pre-MPB	Non_Salvage_Harvested	17.87	0.59	2.19	4.83	2.97	2	16.95	2.16	24.67	0.48	5.36	5.391
1Pre_W_31	1st Pre-MPB	Non_Salvage_Harvested	19.61	0.65	2.13	4.09	3.96	3.12	19.72	1.98	26.27	0.93	4.16	5.43
2Post_W_01	2nd Post-MPB	Salvage_Harvested	2.22	0.14	1.91	0.96	2.68	1.03	5.94	2.04	11	0.04	2.06	6.324
2Post_W_16	2nd Post-MPB	Salvage_Harvested	2.08	0.14	2.2	1	2.74	1.13	6.34	2.06	11.93	0.16	3.81	6.014
2Post_W_29	2nd Post-MPB	Salvage_Harvested	2.55	0.15	1.34	0.46	1.6	0.75	3.65	0.96	9.11	0.12	1.67	6.043
1Post_W_05	1st Post-MPB	Salvage_Harvested	1.81	0.13	2.09	0.96	2.61	1.1	6.37	1.97	8.27	0.16	3.27	6.251
1Post_W_16	1st Post-MPB	Salvage_Harvested	3.99	0.1	1.45	0.53	1.92	1.1	10.76	1.4	11.4	0.14	2.02	6.204
1Post_W_08	1st Post-MPB	Salvage_Harvested	1.48	0.12	1.76	0.23	2.51	1.24	8.64	1.9	10.05	0.11	2.87	6.05
OG_W_07	Old Growth	Non_Salvage_Harvested	3.18	0.15	2.34	1.87	3.1	0.92	5.74	1.81	10.35	0.35	3.09	5.963
OG_W_04	Old Growth	Non_Salvage_Harvested	3.32	0.15	1.97	1.34	2.78	0.71	6.07	1.61	10.05	0.27	2.8	5.683
OG_W_06	Old Growth	Non_Salvage_Harvested	4.41	0.18	2	1.17	2.9	0.91	5.6	1.48	10.17	0.46	3.13	5.637
2Pre_W_01	2nd Pre-MPB	Non_Salvage_Harvested	6.58	0.21	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.214
2Pre_W_13	2nd Pre-MPB	Non_Salvage_Harvested	4.45	0.18	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.149
2Pre_W_06	2nd Pre-MPB	Non_Salvage_Harvested	4.95	0.18	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.279
RC_W_03	Recent Cut	Salvage_Harvested	5.33	0.21	2.6	1.91	2.27	1.88	11.15	2.62	11.15	0.24	3.19	6.12
RC_W_07	Recent Cut	Salvage_Harvested	4.92	0.2	2.37	2.45	2.21	1.6	9.54	2.1	12.71	0.13	3.6	5.989
RC_W_09	Recent Cut	Salvage_Harvested	8.35	0.27	2.56	2.31	2.09	1.57	9.13	2.3	10.53	0.23	3.04	6.14
1Pre_W_14	1st Pre-MPB	Non_Salvage_Harvested	22.23	0.71	2.26	6.75	2.52	1.3	8.14	1.88	21.17	1.33	4.18	5.902
1Pre_W_22	1st Pre-MPB	Non_Salvage_Harvested	22.9	0.71	2.23	5.1	2.26	1.79	10.99	1.72	21.98	0.98	3.9	5.762
1Pre_W_06	1st Pre-MPB	Non_Salvage_Harvested	22.96	0.71	2.52	4.15	2.47	1.5	9.83	1.98	20.88	0.9	4.06	5.817
2Post_W_05	2nd Post-MPB	Salvage_Harvested	1.34	0.1	2	1.69	2.32	1.38	7.44	1.86	9.81	0.08	2.37	6.216
2Post_W_02	2nd Post-MPB	Salvage_Harvested	2.12	0.14	2.08	0.91	1.83	1.22	6.91	1.59	7.77	0.13	2.53	6.374
2Post_W_09	2nd Post-MPB	Salvage_Harvested	1.88	0.13	2.09	0.2	2.62	1.4	8.37	1.69	7.46	0.08	3.27	6.398
