Original_Label	RootTips_ID	Rhizo_ID	Treatment_LandUseHistory	Salvage_Harvest_Status	Treatment_Moisture	Logging	Treatment_GermintationRate	Height	MeanCanWidth	AbovegroundBiomass	RootDryMass	RootToShootRatio	pH	Texture_Name	Texture_PercentClay	Texture_PercentSilt	Texture_PercentSand	Total_C_percent	Total_N_percent	Na_waterextract_mgperL	NH4_waterextract_mgperL	K_waterextract_mgperL	Mg_waterextract_mgperL	Ca_waterextract_mgperL	Cl_waterextract_mgperL	NO3_waterextract_mgperL	PO4_waterextract_mgperL	SO4_waterextract_mgperL	Fungal_Shannons_Rhizo	Fungal_ObservedFeatures_Rhizo	Fungal_EMF_RA_Rhizo	Fungal_EMF_ObservedFeatures_Rhizo	Fungal_PlantPathogen_RA_Rhizo	Fungal_FungalParasite_RA_Rhizo	Fungal_Shannons_RootTips	Fungal_ObservedFeatures_RootTips	Fungal_EMF_RA_RootTips	Fungal_EMF_ObservedFeatures_RootTips	Fungal_PlantPathogen_RA_RootTips	Fungal_FungalParasite_RA_RootTips	Prokayote_Shannons_Rhizo	Prokayote_ObservedFeatures_Rhizo	vip_mean_ITS_rhizosphere_height_positiveassociations	vip_mean_ITS_rhizosphere_height_negativeassociations	vip_mean_ITS_rhizosphere_meancanwidth_positiveassociations	vip_mean_ITS_rhizosphere_meancanwidth_negativeassociations	vip_mean_ITS_rhizosphere_roottoshootratio_positiveassociations	vip_mean_ITS_rhizosphere_roottoshootratio_negativeassociations	vip_mean_ITS_rhizosphere_abovegroundbiomass_positiveassociations	vip_mean_ITS_rhizosphere_abovegroundbiomass_negativeassociations	vip_mean_ITS_rhizosphere_rootdrymass_positiveassociations	vip_mean_ITS_rhizosphere_rootdrymass_negativeassociations	vip_mean_ITS_roottips_height_positiveassociations	vip_mean_ITS_roottips_height_negativeassociations	vip_mean_ITS_roottips_meancanwidth_positiveassociations	vip_mean_ITS_roottips_roottoshootratio_positiveassociations	vip_mean_ITS_roottips_roottoshootratio_negativeassociations	vip_mean_ITS_roottips_abovegroundbiomass_positiveassociations	vip_mean_ITS_roottips_rootdrymass_positiveassociations	vip_mean_ITS_roottips_rootdrymass_negativeassociations
OG_W_04	NA	SFSP140	Old_Forest	Non_Salvage_Harvested	Wet	Non_Logged	0.5	4.4	4.8	0.1161	0.364216185	3.13709031	5.683	SANDY LOAM	10.84006275	19.13688001	70.02305724	3.3185	0.154	1.972699038	1.340739611	2.780906167	0.706413902	6.070124265	1.606889283	10.05009697	0.269056251	2.800354726	2.501283881	170	0.028034472	10	0.00222061	0.000461711	NA	NA	NA	NA	NA	NA	6.10830464	1351	0.000329794	0.000140712	8.79E-05	0.000560649	0.000169548	0.000316358	5.41E-05	0.000302311	0.000567645	6.23E-05	NA	NA	NA	NA	NA	NA	NA	NA
OG_W_05	NA	SFSP141	Old_Forest	Non_Salvage_Harvested	Wet	Non_Logged	0.5	5.7	5.05	0.1337	0.567765079	4.246560055	NA	SANDY LOAM	10.84006275	19.13688001	70.02305724	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.150916279	207	0.01306424	12	0.002265411	0.000858471	NA	NA	NA	NA	NA	NA	6.084734131	1391	0.000248897	0.000222964	0.000176464	0.001114821	0.00023663	0.000422612	6.79E-05	0.00055741	0.000650357	3.18E-05	NA	NA	NA	NA	NA	NA	NA	NA
OG_W_06	NA	SFSP142	Old_Forest	Non_Salvage_Harvested	Wet	Non_Logged	0.5	5.3	4.5	0.1059	0.517090743	4.882820988	5.637	SANDY LOAM	10.84006275	19.13688001	70.02305724	4.406	0.1839	1.997011285	1.17267468	2.897255719	0.909297135	5.598527455	1.478781866	10.16745495	0.455221463	3.131891787	2.459239982	180	0.012144455	11	0.0015573	0.001194641	NA	NA	NA	NA	NA	NA	6.091433938	1190	0.000195996	0.000110931	8.53E-05	0.000554655	0.000122664	0.000233477	5.42E-05	0.000277327	0.000390456	4.74E-05	NA	NA	NA	NA	NA	NA	NA	NA
OG_W_07	NA	SFSP143	Old_Forest	Non_Salvage_Harvested	Wet	Non_Logged	0.5	4.5	4.55	0.0427	0.34934573	8.18139883	5.963	SANDY LOAM	10.84006275	19.13688001	70.02305724	3.1758	0.1464	2.341866962	1.865092135	3.097802494	0.923745585	5.741093531	1.805058355	10.35048151	0.347106402	3.088354846	3.775019128	206	0.044705082	16	0.001292576	0.000384279	NA	NA	NA	NA	NA	NA	5.491809087	658	0.000628821	0.000731878	0.000139738	0.003641921	0.01306483	0.000671519	8.33E-05	0.001820961	0.001385735	0.00026395	NA	NA	NA	NA	NA	NA	NA	NA
OG_W_08	RT56	NA	Old_Forest	Non_Salvage_Harvested	Wet	Non_Logged	0.5	4.4	4.85	NA	0.3216	NA	NA	SANDY LOAM	10.84006275	19.13688001	70.02305724	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.873085934	168	0.814234845	16	0.000152256	0.000867857	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00321767	0.041753579	0.002207707	0.003673168	0.000365414	9.39E-05	0.001525276	0.003185486
OG_W_12	RT57	NA	Old_Forest	Non_Salvage_Harvested	Wet	Non_Logged	0.5	6	5.25	0.1514	0.3132	2.068692206	NA	SANDY LOAM	10.84006275	19.13688001	70.02305724	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.627743638	102	0.842570972	8	0.000644828	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000874101	0	0.000582734	0.00030092	0.000250767	0	0.000922719	7.34E-05
OG_W_13	RT58	SFSP144	Old_Forest	Non_Salvage_Harvested	Wet	Non_Logged	0.5	5.1	5.45	0.1726	0.569	3.296639629	NA	SANDY LOAM	10.84006275	19.13688001	70.02305724	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.299452371	221	0.069117117	15	0.001266454	0.000211076	0.85495208	167	0.827368255	18	0.002855371	0	NA	NA	0.000684797	0.000193806	0.000733008	0.000887477	0.000183769	0.000715312	0.000346873	0.000443739	0.001035027	9.59E-05	0.000552038	0.000554758	0.000368026	0.019367576	0	0	0.001360089	8.44E-05
OG_W_19	RT59	NA	Old_Forest	Non_Salvage_Harvested	Wet	Non_Logged	0.5	3.8	2.95	0.052	0.2079	3.998076923	NA	SANDY LOAM	10.84006275	19.13688001	70.02305724	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.791584024	137	0.868914647	17	0.001506803	0.000502268	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.002498656	0.000202936	0.00166577	0.037757603	0	0	0.000687629	0.001595898
OG_W_20	NA	NA	Old_Forest	Non_Salvage_Harvested	Wet	Non_Logged	0.5	3.5	3.85	0.0753	0.1433	1.903054449	NA	SANDY LOAM	10.84006275	19.13688001	70.02305724	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OG_W_22	NA	SFSP145	Old_Forest	Non_Salvage_Harvested	Wet	Non_Logged	0.5	4.6	4.25	0.1355	0.955592877	7.052345953	NA	SANDY LOAM	10.84006275	19.13688001	70.02305724	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.356009767	230	0.025180386	21	0.000291404	0.001764611	NA	NA	NA	NA	NA	NA	5.259350696	483	0.000440141	0.000314068	0.000165129	0.001432734	0.000156598	0.000805857	0.000149438	0.000716367	0.000851644	0.000150199	NA	NA	NA	NA	NA	NA	NA	NA
