Feature ID	Taxonomy
7bdc68db4f1c97fdf30579b908feefdf	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae
4407cd9da10c60dec62c81b27dee7f20	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Wilcoxina;s__Wilcoxina_rehmii;sh__SH1347045.09FU
188a32c433f531ccc2fdda11b3b0aefb	k__Fungi;p__Basidiomycota;c__Agaricomycetes
fd3979ff0a52462722fceb5e4cfb863a	k__Fungi;p__Basidiomycota;c__Agaricomycetes
8b0b52e41f6962f1e47f857dfe6151f7	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales
439441b5b3586f7e1c86d83c98d95152	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Wilcoxina;s__Wilcoxina_rehmii;sh__SH1347045.09FU
ca2f7ae0139a8c531b9ed967f320d562	k__Fungi
eb62e64b2867bf2723ce1ef57862e0c1	k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Leucosporidiales;f__Leucosporidiaceae;g__Leucosporidium;s__Leucosporidium_escuderoi;sh__SH2073586.09FU
7b2bdea9b68d651e055470f54ae30b8e	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales
bd76b046de9e7cfb911f678e3066ad70	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__Inocybe_silvae-herbaceae;sh__SH1987025.09FU
29f142a9c1f0eed0c8f61947f555c5a6	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Atheliales;f__Pilodermataceae;g__Piloderma
1031b24a7b3e391c9f1e04263b2c7fb7	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Thelephorales;f__Thelephoraceae;g__Thelephora;s__Thelephora_sp
0fe7bc2c7f17de455f429c8a16492c18	k__Fungi
e7e360325a8b7543263ab08c51629b02	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hygrophoraceae;g__Hygrophorus;s__Hygrophorus_fuscoalboides;sh__SH2101083.09FU
77679507c92aeef417f0363cf9796a7e	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales
3196ca94bbd57d9698efe9a567d606ef	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Atheliales;f__Pilodermataceae;g__Piloderma
0060e0a7126e44af2d9f689884167c83	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Linnemannia;s__Linnemannia_camargensis;sh__SH1366784.09FU
fdaeae773a84f81b1f848eb40d970b97	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Thelephorales;f__Thelephoraceae
5f058c6b2276015dde1c13f88986d664	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Wilcoxina;s__Wilcoxina_rehmii;sh__SH1347045.09FU
a0f3d500d689cf63651f5514805cdee1	k__Fungi
072bf44b2abb12d4c2557dae04c44e66	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Tricholoma
82f6b3ab6de540dc4535a348f8fe8870	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Cladophialophora;s__Cladophialophora_humicola;sh__SH1415840.09FU
bbecb6bd0f1093a8572f96706f5aaaa9	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Thelebolales;f__Pseudeurotiaceae;g__Pseudeurotium;s__Pseudeurotium_desertorum;sh__SH1478243.09FU
64fa4515583895065125614e168f8edb	k__Fungi;p__Basidiomycota;c__Agaricomycetes
81fca7f9bb0af1f6bc26077d494a4375	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales
1bdb36bd55e880a0cfac2dcef1c4832e	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Leotiales;f__Cochlearomycetaceae;g__Satchmopsis;s__Satchmopsis_metrosideri;sh__SH1513315.09FU
f77536a835964e3bee6e32f27aed1e5e	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Leohumicola;s__Leohumicola_atra;sh__SH1526571.09FU
4315aa7cb371a64b90aaa1f5b1bbb7d4	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Wilcoxina;s__Wilcoxina_rehmii;sh__SH1347045.09FU
db7d7ec88003512b20e371275a2a36cf	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales
06560a6ee494d6ad034514232c76f005	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Thelephorales;f__Thelephoraceae;g__Thelephora;s__Thelephora_sp
87f6a6ba7bcbb34eef63b3154c539d67	k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Leucosporidiales;f__Leucosporidiaceae;g__Leucosporidium;s__Leucosporidium_escuderoi;sh__SH2073586.09FU
c8dcf4b3a40eed031064128a53a99a3a	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Leotiales;f__Cochlearomycetaceae;g__Satchmopsis;s__Satchmopsis_metrosideri;sh__SH1513315.09FU
9dab8b6289ddb1cf362a74ee3d3798d0	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales
d24e2a868507debdba4ec66eb61ad285	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Cortinariaceae;g__Cortinarius
8ea9920e2c511d24cb9f40bd6742a0c0	k__Fungi
7be4f848bc54b759041047ff6aa6d9c2	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Atheliales;f__Pilodermataceae;g__Piloderma;s__Piloderma_lanatum;sh__SH1870371.09FU
28f2bd02d62bf1d8de4e47278f5a68c2	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Acephala;s__Acephala_sp;sh__SH1442458.09FU
88c0482c265d15e1c6658da6b3e68ccb	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae
e962ef35bbe98f989b635894e31d87a2	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales
f542a16159f70792f02089fef3e46d2b	k__Fungi
90bc0fd42ad8fba1d085172e42477d95	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales
93b3a065cfe008fa68ee97c23000a993	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Tricholoma;s__Tricholoma_olivaceum;sh__SH1711618.09FU
aa1c9ef5ded00555a33eaa62cb77b242	k__Fungi
39019d18554bb3d4361efc0f2e1a509a	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Atheliales;f__Pilodermataceae;g__Piloderma;s__Piloderma_lanatum;sh__SH1870371.09FU
76e902b7765ffa1d6d17f6482a879758	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales
2d817df03f1032aee62209687e6271fb	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Venturiales;f__Venturiaceae;g__Venturia
66ee09b38dee133a7e7f2d579a2e0766	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Leotiales;f__Cochlearomycetaceae;g__Satchmopsis;s__Satchmopsis_metrosideri;sh__SH1513315.09FU
7496e993d1cc30f52f2c42f646d600a9	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Cortinariaceae;g__Cortinarius;s__Cortinarius_umbrinolutescens;sh__SH2052376.09FU
4d9bc90f75519cd9a3e9c83e9135196f	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Atheliales;f__Pilodermataceae;g__Piloderma;s__Piloderma_bicolor;sh__SH1455679.09FU
6cb4d86736ecfc615a11c42c5ee4fa0b	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Naganishia
2694da6a11c36b0de6acf81599d1f56f	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__Inocybe_silvae-herbaceae;sh__SH1987025.09FU
89ece3606694e8f56cb605193a498f30	k__Fungi;p__Ascomycota
8c708692a6f8a473e675ee99f38fe7cd	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Lactarius;s__Lactarius_pseudohatsudake;sh__SH1805766.09FU
472eeeabe166bff206dda0695b68d027	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe
7d2147479d90cc5b250a2aeca715d8c6	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Venturiales;f__Venturiaceae;g__Venturia
e3442e188357e8c66cfd51f11a0c4808	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Piskurozymaceae;g__Solicoccozyma;s__Solicoccozyma_aeria;sh__SH1334237.09FU
e6282bafbb1360dba66fb3070bc84c9a	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Thelephorales;f__Thelephoraceae;g__Thelephora;s__Thelephora_sp;sh__SH1778944.09FU
ef031164a6885ce06683737b43a8bb63	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales
94db3e4b5dfee8478705a1de3920d407	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales
29f51b4e8dfea7306734a44122b0081b	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Atheliales;f__Pilodermataceae;g__Piloderma;s__Piloderma_sp;sh__SH1455779.09FU
6a125d96b49fb7632fb2344d983320dd	k__Fungi;p__Basidiomycota;c__Agaricomycetes
56f422c3001a174b79a07ec0e8a4ba1c	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Wilcoxina;s__Wilcoxina_rehmii;sh__SH1347045.09FU
