#OTU ID	Decade	Year_Cut	Soil_Depth	MPB
Sample1	2nd PreMPB_NEW	1992	5-15cm	Non_MPB
Sample10	1st PreMPB_Old	1988	5-15cm	Non_MPB
Sample100	Old Forest	Matrix Forest	0-5cm	Non_MPB
Sample101	Old Forest	Matrix Forest	OrgC	Non_MPB
Sample102	1st PreMPB_Old	1986	OrgC	Non_MPB
Sample103	Old Forest	Matrix Forest	OrgC	Non_MPB
Sample104	Early MPB	2010	0-5cm	MPB
Sample105	Early MPB	2010	0-5cm	MPB
Sample106	Recent Cuts	2019/2021	0-5cm	MPB
Sample107	Early MPB	2010	0-5cm	MPB
Sample108	Recent Cuts	2019/2021	0-5cm	MPB
Sample109	Recent Cuts	2019/2021	0-5cm	MPB
Sample11	2nd PreMPB_NEW	1992	5-15cm	Non_MPB
Sample110	Late MPB	2013	0-5cm	MPB
Sample111	Late MPB	2013	0-5cm	MPB
Sample112	Late MPB	2014	0-5cm	MPB
Sample113	Late MPB	2014	0-5cm	MPB
Sample114	Late MPB	2014	0-5cm	MPB
Sample115	Late MPB	2012	0-5cm	MPB
Sample116	Late MPB	2013	0-5cm	MPB
Sample117	Late MPB	2014	0-5cm	MPB
Sample118	Late MPB	2014	0-5cm	MPB
Sample119	Late MPB	2012	0-5cm	MPB
Sample12	1st PreMPB_Old	1988	5-15cm	Non_MPB
Sample120	Recent Cuts	2019	0-5cm	MPB
Sample121	Late MPB	2012	0-5cm	MPB
Sample122	Late MPB	2014	0-5cm	MPB
Sample123	Late MPB	2013	0-5cm	MPB
Sample124	Recent Cuts	2019	0-5cm	MPB
Sample125	Recent Cuts	2019	0-5cm	MPB
Sample126	Late MPB	2014	5-15cm	MPB
Sample127	Early MPB	2009	5-15cm	MPB
Sample128	Early MPB	2010	5-15cm	MPB
Sample129	Early MPB	2010	5-15cm	MPB
Sample13	Recent Cuts	2018	5-15cm	MPB
Sample130	Recent Cuts	2019/2021	5-15cm	MPB
Sample131	Early MPB	2009	5-15cm	MPB
Sample132	Early MPB	2010	5-15cm	MPB
Sample133	Recent Cuts	2019/2021	5-15cm	MPB
Sample134	Early MPB	2009	5-15cm	MPB
Sample135	Late MPB	2012	5-15cm	MPB
Sample136	Early MPB	2009	5-15cm	MPB
Sample137	Recent Cuts	2019/2021	5-15cm	MPB
Sample14	2nd PreMPB_NEW	1996	5-15cm	Non_MPB
Sample140	Late MPB	2014	5-15cm	MPB
Sample141	Late MPB	2012	5-15cm	MPB
Sample142	Early MPB	2009	5-15cm	MPB
Sample143	Early MPB	2008	OrgC	MPB
Sample144	Early MPB	2008	OrgC	MPB
Sample145	Early MPB	2008	OrgC	MPB
Sample146	Early MPB	2008	OrgC	MPB
Sample147	Early MPB	2008	OrgC	MPB
Sample148	Early MPB	2009	OrgC	MPB
Sample149	Early MPB	2008	OrgC	MPB
Sample15	2nd PreMPB_NEW	1996	5-15cm	Non_MPB
Sample150	Early MPB	2010	OrgC	MPB
Sample151	Early MPB	2010	OrgC	MPB
Sample152	Early MPB	2010	OrgC	MPB
Sample153	Early MPB	2009	OrgC	MPB
Sample154	Early MPB	2009	OrgC	MPB
Sample155	Early MPB	2009	OrgC	MPB
Sample156	Early MPB	2009	OrgC	MPB
Sample157	Recent Cuts	2019/2021	OrgC	MPB
Sample158	Early MPB	2009	OrgC	MPB
Sample159	Early MPB	2009	OrgC	MPB
Sample16	1st PreMPB_Old	1989	5-15cm	Non_MPB
Sample160	Recent Cuts	2019/2021	OrgC	MPB
Sample161	Recent Cuts	2019/2021	OrgC	MPB
Sample162	Old Forest	Matrix Forest	0-5cm	Non_MPB
Sample163	Old Forest	Matrix Forest	0-5cm	Non_MPB
Sample164	Old Forest	Matrix Forest	0-5cm	Non_MPB
Sample165	Old Forest	Matrix Forest	5-15cm	Non_MPB
Sample166	Old Forest	Matrix Forest	5-15cm	Non_MPB
Sample167	Old Forest	Matrix Forest	0-5cm	Non_MPB
Sample168	Old Forest	Matrix Forest	5-15cm	Non_MPB
Sample169	Old Forest	Matrix Forest	5-15cm	Non_MPB
Sample17	Recent Cuts	2019	5-15cm	MPB
Sample170	Old Forest	Matrix Forest	0-5cm	Non_MPB
Sample171	Old Forest	Matrix Forest	5-15cm	Non_MPB
Sample172	Old Forest	Matrix Forest	0-5cm	Non_MPB
Sample173	Old Forest	Matrix Forest	5-15cm	Non_MPB
Sample174	Old Forest	Matrix Forest	OrgC	Non_MPB
Sample175	Old Forest	Matrix Forest	0-5cm	Non_MPB
Sample176	Old Forest	Matrix Forest	0-5cm	Non_MPB
Sample177	Old Forest	Matrix Forest	5-15cm	Non_MPB
Sample178	Old Forest	Matrix Forest	0-5cm	Non_MPB
Sample179	Old Forest	Matrix Forest	OrgC	Non_MPB
Sample18	Recent Cuts	2019	5-15cm	MPB
Sample180	Old Forest	Matrix Forest	5-15cm	Non_MPB
Sample181	Late MPB	2013	0-5cm	MPB
Sample182	Early MPB	2008	0-5cm	MPB
Sample183	Early MPB	2008	0-5cm	MPB
Sample184	Early MPB	2009	0-5cm	MPB
Sample185	Early MPB	2009	0-5cm	MPB
Sample186	Late MPB	2013	0-5cm	MPB
Sample187	Early MPB	2009	0-5cm	MPB
Sample188	Early MPB	2009	0-5cm	MPB
Sample189	Early MPB	2008	0-5cm	MPB
Sample19	2nd PreMPB_NEW	1992	5-15cm	Non_MPB
Sample190	Early MPB	2008	0-5cm	MPB
Sample191	Early MPB	2009	0-5cm	MPB
Sample192	Early MPB	2009	0-5cm	MPB
Sample193	Early MPB	2008	0-5cm	MPB
Sample194	Early MPB	2008	0-5cm	MPB
Sample195	1st PreMPB_Old	1986	5-15cm	Non_MPB
Sample196	Old Forest	Matrix Forest	5-15cm	Non_MPB
Sample197	1st PreMPB_Old	1986	0-5cm	Non_MPB
Sample198	Old Forest	Matrix Forest	OrgC	Non_MPB
Sample199	1st PreMPB_Old	1986	OrgC	Non_MPB
Sample2	Recent Cuts	2019	5-15cm	MPB
Sample20	Recent Cuts	2019	5-15cm	MPB
Sample200	Old Forest	Matrix Forest	OrgC	Non_MPB
Sample201	Old Forest	Matrix Forest	OrgC	Non_MPB
Sample202	Old Forest	Matrix Forest	OrgC	Non_MPB
Sample203	Old Forest	Matrix Forest	OrgC	Non_MPB
Sample204	Old Forest	Matrix Forest	5-15cm	Non_MPB
