Sample	Decade	Year_Cut	Soil_Depth	MPB_Impact	Animal Parasite	Animal Pathogen	Arbuscular Mycorrhizal	Dung Saprotroph	Ectomycorrhizal	Endophyte	Epiphyte	Fungal Parasite	Lichen Parasite	Lichenized	Plant Pathogen	Plant Saprotroph	Soil Saprotroph	Undefined Saprotroph	Unknown	Wood Saprotroph
Sample1	2nd PreMPB_NEW	1992	5-15cm	Non_MPB	0	25	0	39	22515	0	0	0	14	0	14	138	18	496	4622	0
Sample10	1st PreMPB_Old	1988	5-15cm	Non_MPB	0	90	58	209	7608	0	0	0	0	0	27	1210	19	1461	23382	2
Sample100	Old Forest	Matrix Forest	0-5cm	Non_MPB	0	90	0	119	13160	29	89	0	0	0	720	566	0	2966	20466	0
Sample101	Old Forest	Matrix Forest	OrgC	Non_MPB	8	43	2	127	11068	116	0	44	0	0	950	832	5	1869	11876	5
Sample102	1st PreMPB_Old	1986	OrgC	Non_MPB	0	1159	0	65	13341	137	27	43	0	0	2222	2808	271	6008	30313	17
Sample103	Old Forest	Matrix Forest	OrgC	Non_MPB	0	32	0	112	14460	11	0	0	32	0	734	59	0	2168	15229	7
Sample104	Early MPB	2010	0-5cm	MPB	24	122	171	59	8716	0	2	47	0	0	258	2125	36	3546	11559	14
Sample105	Early MPB	2010	0-5cm	MPB	0	92	444	43	67	3	7	245	0	0	601	335	13	2676	33896	2
Sample106	Recent Cuts	2019/2021	0-5cm	MPB	0	53	0	0	814	0	0	26	0	0	118	43	0	1738	16734	0
Sample107	Early MPB	2010	0-5cm	MPB	4	405	255	114	1607	0	0	38	0	0	1209	813	15	4690	18479	0
Sample108	Recent Cuts	2019/2021	0-5cm	MPB	0	124	34	15	129	0	5	0	0	0	471	550	0	728	20989	0
Sample109	Recent Cuts	2019/2021	0-5cm	MPB	0	72	9	83	6340	0	0	4	0	0	20	98	6	2404	26724	2
Sample11	2nd PreMPB_NEW	1992	5-15cm	Non_MPB	0	86	42	53	17625	0	0	3	0	0	302	480	348	1647	10717	2
Sample110	Late MPB	2013	0-5cm	MPB	0	644	74	1014	19654	769	2	29	0	0	327	3066	228	1276	11509	0
Sample111	Late MPB	2013	0-5cm	MPB	0	383	0	183	9736	0	0	54	0	0	510	2698	17	1359	14785	0
Sample112	Late MPB	2014	0-5cm	MPB	8	204	8	70	5608	0	0	265	25	0	466	124	22	1831	16780	4
Sample113	Late MPB	2014	0-5cm	MPB	0	696	143	177	555	0	0	71	0	0	762	1928	343	4106	13011	4
Sample114	Late MPB	2014	0-5cm	MPB	0	53	11	225	8853	0	0	14	0	0	271	303	0	1225	15745	0
Sample115	Late MPB	2012	0-5cm	MPB	0	198	429	2069	10	0	0	89	0	0	587	1566	24	3620	22390	29
Sample116	Late MPB	2013	0-5cm	MPB	0	525	64	193	11622	464	3	78	0	0	859	1768	58	1743	13643	3
Sample117	Late MPB	2014	0-5cm	MPB	0	66	0	448	10411	0	0	11	11	0	154	2151	21	706	28800	0
Sample118	Late MPB	2014	0-5cm	MPB	7	132	81	61	21296	0	0	175	53	0	289	169	18	1334	7997	0
Sample119	Late MPB	2012	0-5cm	MPB	5	198	7	733	10112	0	0	10	0	0	705	1257	79	1486	25440	11
Sample12	1st PreMPB_Old	1988	5-15cm	Non_MPB	0	75	8	342	13736	0	0	0	0	0	67	766	0	470	18540	0
Sample120	Recent Cuts	2019	0-5cm	MPB	0	66	113	290	1575	0	5	134	0	0	1469	165	0	2094	30699	5
