Sample	Treatment_LandUseHistory	Treatment_Moisture	MPB_Status	Colonized_RootTips_Counts	Metric_ColonizedTipsper_RootDryMass
1Post_W_6	1stPostMPB	Wet	MPB	3	18.44309537
1Post_W_15	1stPostMPB	Wet	MPB	34	209.0217475
1Post_W_22	1stPostMPB	Wet	MPB	16	98.36317529
1Post_W_25	1stPostMPB	Wet	MPB	17	104.5108737
1Pre_W_6	1stPreMPB	Wet	Non_MPB	143	291.4938008
1Pre_W_14	1stPreMPB	Wet	Non_MPB	80	163.073455
1Pre_W_18	1stPreMPB	Wet	Non_MPB	8	16.3073455
1Pre_W_21	1stPreMPB	Wet	Non_MPB	114	232.3796734
1Pre_W_22	1stPreMPB	Wet	Non_MPB	75	152.8813641
1Pre_W_23	1stPreMPB	Wet	Non_MPB	70	142.6892731
2Post_W_3	2ndPostMPB	Wet	MPB	11	127.5362319
2Post_W_4	2ndPostMPB	Wet	MPB	26	301.4492754
2Post_W_18	2ndPostMPB	Wet	MPB	12	139.1304348
2Post_W_25	2ndPostMPB	Wet	MPB	10	115.942029
2Post_W_26	2ndPostMPB	Wet	MPB	16	185.5072464
2Pre_W_7	2ndPreMPB	Wet	Non_MPB	15	62.21914967
2Pre_W_17	2ndPreMPB	Wet	Non_MPB	25	103.6985828
2Pre_W_22	2ndPreMPB	Wet	Non_MPB	13	53.92326305
2Pre_W_24	2ndPreMPB	Wet	Non_MPB	38	157.6218458
2Pre_W_28	2ndPreMPB	Wet	Non_MPB	47	194.9533356
OG_W_4	Old_Forest	Wet	Non_MPB	63	248.8938053
OG_W_5	Old_Forest	Wet	Non_MPB	17	67.16182048
OG_W_6	Old_Forest	Wet	Non_MPB	59	233.091024
OG_W_7	Old_Forest	Wet	Non_MPB	5	19.75347661
OG_W_22	Old_Forest	Wet	Non_MPB	22	86.91529709
RC_W_9	Recent_Cut	Wet	MPB	21	67.00896354
RC_W_16	Recent_Cut	Wet	MPB	61	194.6450846
RC_W_22	Recent_Cut	Wet	MPB	0	0
RC_W_26	Recent_Cut	Wet	MPB	23	73.39076959
RC_W_27	Recent_Cut	Wet	MPB	20	63.81806051
