LongID	RepNo	Treatment_LandUseHistory	Treatment_Moisture	Tree_or_NoTree	MPB_Impacted	pH	Total_C_percent	Total_N_percent	Na_waterextract_mgperL	NH4_waterextract_mgperL	K_waterextract_mgperL	Mg_waterextract_mgperL	Ca_waterextract_mgperL	Cl_waterextract_mgperL	NO3_waterextract_mgperL	PO4_waterextract_mgperL	SO4_waterextract_mgperL
OG_W_1	1	Old_Forest	Wet	No_Tree	Not_MPB_Impacted	5.602	4.0303	0.1851	2.231411803	2.179195497	3.422586604	0.728778408	3.961718493	2.029380704	10.53185709	0.247269685	3.410504896
OG_W_2	2	Old_Forest	Wet	No_Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OG_W_3	3	Old_Forest	Wet	No_Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OG_W_4	4	Old_Forest	Wet	Tree	Not_MPB_Impacted	5.683	3.3185	0.154	1.972699038	1.340739611	2.780906167	0.706413902	6.070124265	1.606889283	10.05009697	0.269056251	2.800354726
OG_W_5	5	Old_Forest	Wet	Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OG_W_6	6	Old_Forest	Wet	Tree	Not_MPB_Impacted	5.637	4.406	0.1839	1.997011285	1.17267468	2.897255719	0.909297135	5.598527455	1.478781866	10.16745495	0.455221463	3.131891787
OG_W_7	7	Old_Forest	Wet	Tree	Not_MPB_Impacted	5.963	3.1758	0.1464	2.341866962	1.865092135	3.097802494	0.923745585	5.741093531	1.805058355	10.35048151	0.347106402	3.088354846
OG_W_8	8	Old_Forest	Wet	Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OG_W_9	9	Old_Forest	Wet	No_Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OG_W_10	10	Old_Forest	Wet	No_Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OG_W_11	11	Old_Forest	Wet	No_Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OG_W_12	12	Old_Forest	Wet	Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OG_W_13	13	Old_Forest	Wet	Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OG_W_14	14	Old_Forest	Wet	No_Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OG_W_15	15	Old_Forest	Wet	No_Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OG_W_16	16	Old_Forest	Wet	No_Tree	Not_MPB_Impacted	5.651	3.8927	0.1827	1.967786542	1.09784437	2.786662233	0.781954368	4.759097454	1.89991379	11.70287818	0.165847321	3.179825907
OG_W_17	17	Old_Forest	Wet	No_Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OG_W_18	18	Old_Forest	Wet	No_Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OG_W_19	19	Old_Forest	Wet	Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OG_W_20	20	Old_Forest	Wet	Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OG_W_21	21	Old_Forest	Wet	No_Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OG_W_22	22	Old_Forest	Wet	Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OG_W_23	23	Old_Forest	Wet	Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OG_W_24	24	Old_Forest	Wet	No_Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OG_W_25	25	Old_Forest	Wet	No_Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OG_W_26	26	Old_Forest	Wet	Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OG_W_27	27	Old_Forest	Wet	Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OG_W_28	28	Old_Forest	Wet	Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OG_W_29	29	Old_Forest	Wet	No_Tree	Not_MPB_Impacted	5.582	3.5109	0.1654	1.644016452	1.720417878	2.053528327	0.529725323	7.503352287	1.662253533	10.34081037	0.324935321	2.508414044
OG_W_30	30	Old_Forest	Wet	Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1Pre_W_1	1	1stPreMPB	Wet	Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1Pre_W_2	2	1stPreMPB	Wet	Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1Pre_W_3	3	1stPreMPB	Wet	No_Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1Pre_W_4	4	1stPreMPB	Wet	Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1Pre_W_5	5	1stPreMPB	Wet	Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1Pre_W_6	6	1stPreMPB	Wet	Tree	Not_MPB_Impacted	5.817	22.9647	0.7074	2.517585612	4.148267949	2.467016689	1.499655985	9.827641741	1.984334025	20.87945677	0.904042947	4.064467284
1Pre_W_7	7	1stPreMPB	Wet	No_Tree	Not_MPB_Impacted	5.445	11.133	0.5807	2.026883185	2.409375148	3.523513293	2.209203209	13.24998792	1.885786183	24.6381949	0.497659797	3.939378799
1Pre_W_8	8	1stPreMPB	Wet	Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1Pre_W_9	9	1stPreMPB	Wet	No_Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1Pre_W_10	10	1stPreMPB	Wet	Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1Pre_W_11	11	1stPreMPB	Wet	Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1Pre_W_12	12	1stPreMPB	Wet	No_Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1Pre_W_13	13	1stPreMPB	Wet	No_Tree	Not_MPB_Impacted	5.391	17.868	0.5863	2.187498906	4.832210648	2.97462256	1.999893201	16.94740076	2.160677682	24.6741644	0.479199964	5.356315638
1Pre_W_14	14	1stPreMPB	Wet	Tree	Not_MPB_Impacted	5.902	22.2346	0.714	2.258284703	6.752144127	2.516112591	1.302399349	8.139422512	1.883253837	21.1658952	1.329725367	4.179613573
1Pre_W_15	15	1stPreMPB	Wet	No_Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1Pre_W_16	16	1stPreMPB	Wet	Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1Pre_W_17	17	1stPreMPB	Wet	Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1Pre_W_18	18	1stPreMPB	Wet	Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1Pre_W_19	19	1stPreMPB	Wet	Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1Pre_W_20	20	1stPreMPB	Wet	Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1Pre_W_21	21	1stPreMPB	Wet	Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1Pre_W_22	22	1stPreMPB	Wet	Tree	Not_MPB_Impacted	5.762	22.897	0.7143	2.225135289	5.099829375	2.25641614	1.789050237	10.99234347	1.71669722	21.98400982	0.983840046	3.897869767
1Pre_W_23	23	1stPreMPB	Wet	Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1Pre_W_24	24	1stPreMPB	Wet	Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1Pre_W_25	25	1stPreMPB	Wet	Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1Pre_W_26	26	1stPreMPB	Wet	Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1Pre_W_27	27	1stPreMPB	Wet	Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1Pre_W_28	28	1stPreMPB	Wet	No_Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1Pre_W_29	29	1stPreMPB	Wet	No_Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1Pre_W_30	30	1stPreMPB	Wet	No_Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1Pre_W_31	31	1stPreMPB	Wet	No_Tree	Not_MPB_Impacted	5.43	19.61	0.6497	2.12718679	4.088515256	3.956347162	3.1229093	19.71783122	1.984561786	26.26982171	0.931426915	4.158615292
2Pre_W_1	1	2ndPreMPB	Wet	Tree	Not_MPB_Impacted	6.214	6.579	0.2114	NA	NA	NA	NA	NA	NA	NA	NA	NA
2Pre_W_2	2	2ndPreMPB	Wet	No_Tree	Not_MPB_Impacted	5.594	3.2955	0.1424	2.222377041	1.462400507	3.172800724	1.290137286	9.111250706	1.798168206	9.629156246	0.18064265	3.402383954
2Pre_W_3	3	2ndPreMPB	Wet	No_Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2Pre_W_4	4	2ndPreMPB	Wet	No_Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2Pre_W_5	5	2ndPreMPB	Wet	No_Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2Pre_W_6	6	2ndPreMPB	Wet	Tree	Not_MPB_Impacted	6.279	4.9479	0.1784	NA	NA	NA	NA	NA	NA	NA	NA	NA
2Pre_W_7	7	2ndPreMPB	Wet	Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2Pre_W_8	8	2ndPreMPB	Wet	No_Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2Pre_W_9	9	2ndPreMPB	Wet	No_Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2Pre_W_10	10	2ndPreMPB	Wet	No_Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2Pre_W_11	11	2ndPreMPB	Wet	Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2Pre_W_12	12	2ndPreMPB	Wet	No_Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2Pre_W_13	13	2ndPreMPB	Wet	Tree	Not_MPB_Impacted	6.149	4.4505	0.1803	NA	NA	NA	NA	NA	NA	NA	NA	NA
2Pre_W_14	14	2ndPreMPB	Wet	No_Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2Pre_W_15	15	2ndPreMPB	Wet	No_Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2Pre_W_16	16	2ndPreMPB	Wet	No_Tree	Not_MPB_Impacted	5.344	3.7689	0.1548	1.359794932	0.957112684	2.533339001	1.131607548	6.662425297	1.113401721	9.560402666	0.108295219	2.088750649
2Pre_W_17	17	2ndPreMPB	Wet	Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2Pre_W_18	18	2ndPreMPB	Wet	No_Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2Pre_W_19	19	2ndPreMPB	Wet	No_Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2Pre_W_20	20	2ndPreMPB	Wet	Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2Pre_W_21	21	2ndPreMPB	Wet	Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2Pre_W_22	22	2ndPreMPB	Wet	Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2Pre_W_23	23	2ndPreMPB	Wet	No_Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2Pre_W_24	24	2ndPreMPB	Wet	Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2Pre_W_25	25	2ndPreMPB	Wet	No_Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2Pre_W_26	26	2ndPreMPB	Wet	No_Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2Pre_W_27	27	2ndPreMPB	Wet	No_Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2Pre_W_28	28	2ndPreMPB	Wet	Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2Pre_W_29	29	2ndPreMPB	Wet	No_Tree	Not_MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2Pre_W_30	30	2ndPreMPB	Wet	No_Tree	Not_MPB_Impacted	5.298	4.788	0.1807	1.814613747	0.944417621	3.189512957	1.396933693	8.21728322	1.571781621	10.97245778	0.261717503	3.227879491
1Post_W_1	1	1stPostMPB	Wet	Tree	MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1Post_W_2	2	1stPostMPB	Wet	No_Tree	MPB_Impacted	5.855	1.8759	0.1275	1.060252823	0.809049234	2.283554937	0.863988341	4.478340674	0.93580787	11.52386593	0.309846485	1.112583279
1Post_W_3	3	1stPostMPB	Wet	Tree	MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1Post_W_4	4	1stPostMPB	Wet	No_Tree	MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1Post_W_5	5	1stPostMPB	Wet	Tree	MPB_Impacted	6.251	1.807	0.1279	2.091344292	0.963186916	2.614770288	1.103974198	6.373417034	1.965334115	8.274641075	0.16100254	3.265491667
1Post_W_6	6	1stPostMPB	Wet	Tree	MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1Post_W_7	7	1stPostMPB	Wet	No_Tree	MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1Post_W_8	8	1stPostMPB	Wet	Tree	MPB_Impacted	6.05	1.4819	0.1191	1.764611966	0.226326606	2.513926288	1.240670309	8.636388077	1.902918627	10.04542979	0.112294798	2.874409766
1Post_W_9	9	1stPostMPB	Wet	Tree	MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1Post_W_10	10	1stPostMPB	Wet	Tree	MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1Post_W_11	11	1stPostMPB	Wet	Tree	MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1Post_W_12	12	1stPostMPB	Wet	Tree	MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1Post_W_13	13	1stPostMPB	Wet	Tree	MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1Post_W_14	14	1stPostMPB	Wet	Tree	MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1Post_W_15	15	1stPostMPB	Wet	Tree	MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1Post_W_16	16	1stPostMPB	Wet	Tree	MPB_Impacted	6.204	3.9851	0.1014	1.454288595	0.528060174	1.923143967	1.096824001	10.75681974	1.403298579	11.39999796	0.140341159	2.017347961
1Post_W_17	17	1stPostMPB	Wet	Tree	MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1Post_W_18	18	1stPostMPB	Wet	Tree	MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1Post_W_19	19	1stPostMPB	Wet	No_Tree	MPB_Impacted	5.87	1.5717	0.1165	0.848711882	0.467078992	2.978133258	1.139991167	6.287431155	0.869096839	9.941733238	0.521765604	1.219986619
1Post_W_20	20	1stPostMPB	Wet	Tree	MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1Post_W_21	21	1stPostMPB	Wet	No_Tree	MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1Post_W_22	22	1stPostMPB	Wet	Tree	MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1Post_W_23	23	1stPostMPB	Wet	Tree	MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1Post_W_24	24	1stPostMPB	Wet	No_Tree	MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1Post_W_25	25	1stPostMPB	Wet	Tree	MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1Post_W_26	26	1stPostMPB	Wet	No_Tree	MPB_Impacted	5.849	2.7143	0.1691	1.16981758	0.287625863	2.190918161	0.779284068	4.304658547	1.136414942	8.090154575	0.091453884	2.004452017
1Post_W_27	27	1stPostMPB	Wet	Tree	MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1Post_W_28	28	1stPostMPB	Wet	No_Tree	MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1Post_W_29	29	1stPostMPB	Wet	Tree	MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1Post_W_30	30	1stPostMPB	Wet	Tree	MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2Post_W_1	1	2ndPostMPB	Wet	No_Tree	MPB_Impacted	6.324	2.2207	0.135	1.912088542	0.959424666	2.677221869	1.034000219	5.937888142	2.039670236	11.00332082	0.036752168	2.061271366
2Post_W_2	2	2ndPostMPB	Wet	Tree	MPB_Impacted	6.374	2.1249	0.1352	2.080837981	0.91158853	1.834417669	1.217881269	6.909537087	1.593725853	7.76692347	0.12772354	2.526249336
2Post_W_3	3	2ndPostMPB	Wet	Tree	MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2Post_W_4	4	2ndPostMPB	Wet	Tree	MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2Post_W_5	5	2ndPostMPB	Wet	Tree	MPB_Impacted	6.216	1.3389	0.104	2.001231131	1.69314959	2.321627476	1.377350216	7.435816893	1.864651148	9.806614364	0.082374523	2.373226249
2Post_W_6	6	2ndPostMPB	Wet	No_Tree	MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2Post_W_7	7	2ndPostMPB	Wet	No_Tree	MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2Post_W_8	8	2ndPostMPB	Wet	No_Tree	MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2Post_W_9	9	2ndPostMPB	Wet	Tree	MPB_Impacted	6.398	1.8794	0.1283	2.086470753	0.201671054	2.617683315	1.395151419	8.368500615	1.685387742	7.455389809	0.075212425	3.273359369
2Post_W_10	10	2ndPostMPB	Wet	No_Tree	MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2Post_W_11	11	2ndPostMPB	Wet	No_Tree	MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2Post_W_12	12	2ndPostMPB	Wet	No_Tree	MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2Post_W_13	13	2ndPostMPB	Wet	No_Tree	MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2Post_W_14	14	2ndPostMPB	Wet	No_Tree	MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2Post_W_15	15	2ndPostMPB	Wet	Tree	MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2Post_W_16	16	2ndPostMPB	Wet	No_Tree	MPB_Impacted	6.014	2.0757	0.1386	2.203959657	1.002665745	2.735941226	1.128963127	6.335837576	2.064808668	11.93492129	0.156778086	3.806788173
2Post_W_17	17	2ndPostMPB	Wet	Tree	MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2Post_W_18	18	2ndPostMPB	Wet	Tree	MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2Post_W_19	19	2ndPostMPB	Wet	No_Tree	MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2Post_W_20	20	2ndPostMPB	Wet	No_Tree	MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2Post_W_21	21	2ndPostMPB	Wet	Tree	MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2Post_W_22	22	2ndPostMPB	Wet	No_Tree	MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2Post_W_23	23	2ndPostMPB	Wet	Tree	MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2Post_W_24	24	2ndPostMPB	Wet	No_Tree	MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2Post_W_25	25	2ndPostMPB	Wet	Tree	MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2Post_W_26	26	2ndPostMPB	Wet	Tree	MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2Post_W_27	27	2ndPostMPB	Wet	No_Tree	MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2Post_W_28	28	2ndPostMPB	Wet	No_Tree	MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2Post_W_29	29	2ndPostMPB	Wet	No_Tree	MPB_Impacted	6.043	2.5499	0.1503	1.341948212	0.461632806	1.600672075	0.74863225	3.652586763	0.96182411	9.113997271	0.119876234	1.671999386
2Post_W_30	30	2ndPostMPB	Wet	Tree	MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RC_W_1	1	Recent_Cut	Wet	No_Tree	MPB_Impacted	5.53	7.2746	0.2645	2.183590359	0.673219352	3.358284898	1.738517104	10.44968684	1.686852	15.87832291	0.489635477	2.074981862
RC_W_2	2	Recent_Cut	Wet	No_Tree	MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RC_W_3	3	Recent_Cut	Wet	Tree	MPB_Impacted	6.12	5.3285	0.2102	2.599843597	1.905828331	2.267644344	1.881900254	11.14527533	2.623926367	11.15495895	0.242719492	3.191590287
RC_W_4	4	Recent_Cut	Wet	No_Tree	MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RC_W_5	5	Recent_Cut	Wet	No_Tree	MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RC_W_6	6	Recent_Cut	Wet	Tree	MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RC_W_7	7	Recent_Cut	Wet	Tree	MPB_Impacted	5.989	4.9234	0.1968	2.36734212	2.450316937	2.205790417	1.598918742	9.539478693	2.097026922	12.71074529	0.1253723	3.597856682
RC_W_8	8	Recent_Cut	Wet	No_Tree	MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RC_W_9	9	Recent_Cut	Wet	Tree	MPB_Impacted	6.14	8.3545	0.2736	2.558185777	2.313938459	2.090083165	1.569527308	9.125960052	2.303286434	10.52772486	0.234256984	3.040443648
RC_W_10	10	Recent_Cut	Wet	Tree	MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RC_W_11	11	Recent_Cut	Wet	Tree	MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RC_W_12	12	Recent_Cut	Wet	No_Tree	MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RC_W_13	13	Recent_Cut	Wet	No_Tree	MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RC_W_14	14	Recent_Cut	Wet	No_Tree	MPB_Impacted	5.48	4.7312	0.2051	1.679450744	0.526909039	3.280227425	1.68803037	10.49024064	1.315628895	16.37358471	0.396452079	2.115739419
RC_W_15	15	Recent_Cut	Wet	Tree	MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RC_W_16	16	Recent_Cut	Wet	Tree	MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RC_W_17	17	Recent_Cut	Wet	Tree	MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RC_W_18	18	Recent_Cut	Wet	No_Tree	MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RC_W_19	19	Recent_Cut	Wet	Tree	MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RC_W_20	20	Recent_Cut	Wet	Tree	MPB_Impacted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
