SampleID	Original_Label	Corrected_ID	Sample_Type	Tree	Time_Point	Replicate	Treatment_LandUseHistory	MPB_Impacted	Treatment_Moisture	pH	Total_C_percent	Total_N_percent	Na_waterextract_mgperL	NH4_waterextract_mgperL	K_waterextract_mgperL	Mg_waterextract_mgperL	Ca_waterextract_mgperL	Cl_waterextract_mgperL	NO3_waterextract_mgperL	PO4_waterextract_mgperL	SO4_waterextract_mgperL
SFSP100	1Post_W_6	SFGB100	Rhizosphere	Tree	Day_of_Harvest	6	1stPostMPB	MPB	Wet	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SFSP101	1Post_W_8	SFGB101	Rhizosphere	Tree	Day_of_Harvest	8	1stPostMPB	MPB	Wet	6.05	1.4819	0.1191	1.764611966	0.226326606	2.513926288	1.240670309	8.636388077	1.902918627	10.04542979	0.112294798	2.874409766
SFSP102	1Post_W_13	SFGB102	Rhizosphere	Tree	Day_of_Harvest	13	1stPostMPB	MPB	Wet	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SFSP103	1Post_W_15	SFGB103	Rhizosphere	Tree	Day_of_Harvest	15	1stPostMPB	MPB	Wet	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SFSP104	1Post_W_18	SFGB104	Rhizosphere	Tree	Day_of_Harvest	18	1stPostMPB	MPB	Wet	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SFSP105	1Post_W_22	SFGB105	Rhizosphere	Tree	Day_of_Harvest	22	1stPostMPB	MPB	Wet	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SFSP106	1Post_W_23	SFGB106	Rhizosphere	Tree	Day_of_Harvest	23	1stPostMPB	MPB	Wet	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SFSP107	1Post_W_25	SFGB107	Rhizosphere	Tree	Day_of_Harvest	25	1stPostMPB	MPB	Wet	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SFSP108	1Pre_W_2	SFGB108	Rhizosphere	Tree	Day_of_Harvest	2	1stPreMPB	Non_MPB	Wet	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SFSP109	1Pre_W_6	SFGB109	Rhizosphere	Tree	Day_of_Harvest	6	1stPreMPB	Non_MPB	Wet	5.817	22.9647	0.7074	2.517585612	4.148267949	2.467016689	1.499655985	9.827641741	1.984334025	20.87945677	0.904042947	4.064467284
