#NAME	Original_Label	Corrected_ID	Sample_Type	Tree	Time_Point	Replicate	Treatment_LandUseHistory	MPB_Impacted	Treatment_Moisture	Sequence_Counts
RT10	2Pre_W_11	RT10	Root Tip	Tree	Day_of_Harvest	11	2ndPreMPB	Non_MPB	Wet	63946
RT11	2Pre_W_13	RT11	Root Tip	Tree	Day_of_Harvest	13	2ndPreMPB	Non_MPB	Wet	68495
RT12	2Pre_W_20	RT12	Root Tip	Tree	Day_of_Harvest	20	2ndPreMPB	Non_MPB	Wet	37687
RT13	2Pre_W_21	RT13	Root Tip	Tree	Day_of_Harvest	21	2ndPreMPB	Non_MPB	Wet	26172
RT21	1Post_W_01	RT21	Root Tip	Tree	Day_of_Harvest	1	1stPostMPB	MPB	Wet	53389
RT22	1Post_W_05	RT22	Root Tip	Tree	Day_of_Harvest	5	1stPostMPB	MPB	Wet	70241
RT23	1Post_W_10	RT23	Root Tip	Tree	Day_of_Harvest	10	1stPostMPB	MPB	Wet	88231
RT24	1Post_W_13	RT24	Root Tip	Tree	Day_of_Harvest	13	1stPostMPB	MPB	Wet	73568
RT25	1Post_W_14	RT25	Root Tip	Tree	Day_of_Harvest	14	1stPostMPB	MPB	Wet	75149
RT26	1Post_W_23	RT26	Root Tip	Tree	Day_of_Harvest	23	1stPostMPB	MPB	Wet	74345
RT27	1Post_W_30	RT27	Root Tip	Tree	Day_of_Harvest	30	1stPostMPB	MPB	Wet	22801
RT28	1Pre_W_02	RT28	Root Tip	Tree	Day_of_Harvest	2	1stPreMPB	Non_MPB	Wet	93143
RT29	1Pre_W_05	RT29	Root Tip	Tree	Day_of_Harvest	5	1stPreMPB	Non_MPB	Wet	73079
RT30	1Pre_W_08	RT30	Root Tip	Tree	Day_of_Harvest	8	1stPreMPB	Non_MPB	Wet	114689
RT31	1Pre_W_17	RT31	Root Tip	Tree	Day_of_Harvest	17	1stPreMPB	Non_MPB	Wet	83522
RT32	1Pre_W_19	RT32	Root Tip	Tree	Day_of_Harvest	19	1stPreMPB	Non_MPB	Wet	67503
RT33	1Pre_W_22	RT33	Root Tip	Tree	Day_of_Harvest	22	1stPreMPB	Non_MPB	Wet	55693
RT34	1Pre_W_27	RT34	Root Tip	Tree	Day_of_Harvest	27	1stPreMPB	Non_MPB	Wet	105152
RT56	OG_W_08	RT56	Root Tip	Tree	Day_of_Harvest	8	Old_Forest	Non_MPB	Wet	86004
RT57	OG_W_12	RT57	Root Tip	Tree	Day_of_Harvest	12	Old_Forest	Non_MPB	Wet	29080
RT58	OG_W_13	RT58	Root Tip	Tree	Day_of_Harvest	13	Old_Forest	Non_MPB	Wet	89529
RT59	OG_W_19	RT59	Root Tip	Tree	Day_of_Harvest	19	Old_Forest	Non_MPB	Wet	99514
RT60	OG_W_23	RT60	Root Tip	Tree	Day_of_Harvest	23	Old_Forest	Non_MPB	Wet	82649
RT61	OG_W_26	RT61	Root Tip	Tree	Day_of_Harvest	26	Old_Forest	Non_MPB	Wet	30156
RT62	OG_W_27	RT62	Root Tip	Tree	Day_of_Harvest	27	Old_Forest	Non_MPB	Wet	73719
RT69	2Post_W_05	RT69	Root Tip	Tree	Day_of_Harvest	5	2ndPostMPB	MPB	Wet	55306
RT70	2Post_W_09	RT70	Root Tip	Tree	Day_of_Harvest	9	2ndPostMPB	MPB	Wet	60553
RT71	2Post_W_17	RT71	Root Tip	Tree	Day_of_Harvest	17	2ndPostMPB	MPB	Wet	45992
RT72	2Post_W_21	RT72	Root Tip	Tree	Day_of_Harvest	21	2ndPostMPB	MPB	Wet	55669
RT73	2Post_W_23	RT73	Root Tip	Tree	Day_of_Harvest	23	2ndPostMPB	MPB	Wet	63850
RT74	2Post_W_30	RT74	Root Tip	Tree	Day_of_Harvest	30	2ndPostMPB	MPB	Wet	53047
RT75	RC_W_03	RT75	Root Tip	Tree	Day_of_Harvest	3	Recent_Cut	MPB	Wet	51214
RT76	RC_W_07	RT76	Root Tip	Tree	Day_of_Harvest	7	Recent_Cut	MPB	Wet	48057
RT77	RC_W_11	RT77	Root Tip	Tree	Day_of_Harvest	11	Recent_Cut	MPB	Wet	32300
RT78	RC_W_15	RT78	Root Tip	Tree	Day_of_Harvest	15	Recent_Cut	MPB	Wet	66394
RT79	RC_W_17	RT79	Root Tip	Tree	Day_of_Harvest	17	Recent_Cut	MPB	Wet	72352
RT8	2Pre_W_01	RT8	Root Tip	Tree	Day_of_Harvest	1	2ndPreMPB	Non_MPB	Wet	83258
RT80	RC_W_20	RT80	Root Tip	Tree	Day_of_Harvest	20	Recent_Cut	MPB	Wet	75338
RT81	RC_W_25	RT81	Root Tip	Tree	Day_of_Harvest	25	Recent_Cut	MPB	Wet	58748
RT9	2Pre_W_06	RT9	Root Tip	Tree	Day_of_Harvest	6	2ndPreMPB	Non_MPB	Wet	119281
