#TAXONOMY	Kingdom	Phyla	Class	Order	Family	Genus	Species
a93b399edb134008a07e5d43574679ab	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula	Rhodotorula_kratochvilovae
e656412b45ed4babdd07288f06bb0055	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula	Rhodotorula_kratochvilovae
94b5adae7bf212b06313a6b429a2af06	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Unknown	Unknown	Unknown
325de7dddd43dfa1fecfc8072967cff1	Fungi	Basidiomycota	Agaricomycetes	Unknown	Unknown	Unknown	Unknown
5c1bf15c46b5525e7dfe2a4c78c82a44	Fungi	Ascomycota	Leotiomycetes	Helotiales	Unknown	Unknown	Unknown
343e012d9fc46d3f429f9231e12c53f1	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Linnemannia	Linnemannia_camargensis
77029035af431d3d97bc0d222da71e75	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Pseudeurotium	Pseudeurotium_desertorum
b343fe474b6db57c31301ecd0d0ff2c9	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Unknown	Unknown	Unknown
4835d91a665e229bc2ccbb6f890b95e0	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Linnemannia	Linnemannia_camargensis
53e05df0ffa93e41f1b615789d7d7019	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Unknown	Unknown
9551234299b8c4bf05a0ecf75d7ccb76	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Unknown
24888aa6d536455853e90afe9e35f88f	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Pseudeurotium	Pseudeurotium_desertorum
e82f6067d0142d638f0f3c619eb1fd7f	Fungi	Ascomycota	Unknown	Unknown	Unknown	Unknown	Unknown
3eb363ae869be04e6fa83f87ef769946	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Linnemannia	Linnemannia_amoeboidea
