Sample	Sample_Type	Tree	Time_Point	Replicate	Treatment_LandUseHistory	MPB_Impacted	Treatment_Moisture	Animal Parasite	Animal Pathogen	Arbuscular Mycorrhizal	Dung Saprotroph	Ectomycorrhizal	Endophyte	Epiphyte	Fungal Parasite	Lichen Parasite	Plant Pathogen	Plant Saprotroph	Soil Saprotroph	Undefined Saprotroph	Unknown	Wood Saprotroph
SFSP100	Rhizosphere	Tree	Day_of_Harvest	6	1stPostMPB	MPB	Wet	0	187	0	1032	106	0	0	89	0	2001	5797	697	5002	29027	215
SFSP101	Rhizosphere	Tree	Day_of_Harvest	8	1stPostMPB	MPB	Wet	0	457	15	1305	572	0	0	127	0	838	5870	1727	10144	48822	23
SFSP102	Rhizosphere	Tree	Day_of_Harvest	13	1stPostMPB	MPB	Wet	0	1223	3	1633	151	0	0	139	0	1975	13282	2135	11048	60292	312
SFSP103	Rhizosphere	Tree	Day_of_Harvest	15	1stPostMPB	MPB	Wet	0	208	0	293	4085	0	0	341	0	232	861	890	2168	39186	6
SFSP104	Rhizosphere	Tree	Day_of_Harvest	18	1stPostMPB	MPB	Wet	0	676	7	3835	133	0	0	195	0	1523	11069	1517	7630	39766	65
SFSP105	Rhizosphere	Tree	Day_of_Harvest	22	1stPostMPB	MPB	Wet	0	207	0	593	303	0	0	147	0	377	17656	354	3627	36839	131
SFSP106	Rhizosphere	Tree	Day_of_Harvest	23	1stPostMPB	MPB	Wet	0	1194	0	812	1132	0	3	88	0	648	13218	1683	6212	65909	0
SFSP107	Rhizosphere	Tree	Day_of_Harvest	25	1stPostMPB	MPB	Wet	0	365	4	1981	398	0	0	221	0	2326	25432	1159	12252	63000	71
SFSP108	Rhizosphere	Tree	Day_of_Harvest	2	1stPreMPB	Non_MPB	Wet	0	32	0	3076	1282	5	0	25	0	84	539	80	1681	52166	0
SFSP109	Rhizosphere	Tree	Day_of_Harvest	6	1stPreMPB	Non_MPB	Wet	0	181	0	436	282	0	0	739	0	285	1033	69	2067	48456	0
SFSP110	Rhizosphere	Tree	Day_of_Harvest	8	1stPreMPB	Non_MPB	Wet	0	103	0	152	61	0	0	90	92	242	1480	190	1660	43763	0
SFSP111	Rhizosphere	Tree	Day_of_Harvest	14	1stPreMPB	Non_MPB	Wet	0	62	0	976	11773	0	0	1364	0	500	959	60	3891	29720	0
