Sample	Sample_Type	Tree	Time_Point	Replicate	Treatment_LandUseHistory	MPB_Impacted	Treatment_Moisture	Animal Parasite	Animal Pathogen	Arbuscular Mycorrhizal	Dung Saprotroph	Ectomycorrhizal	Endophyte	Epiphyte	Fungal Parasite	Lichen Parasite	Plant Pathogen	Plant Saprotroph	Soil Saprotroph	Undefined Saprotroph	Unknown	Wood Saprotroph
RT10	Root Tip	Tree	Day_of_Harvest	11	2ndPreMPB	Non_MPB	Wet	0	0	0	2	33831	0	0	0	0	25	70	0	29	16993	16
RT11	Root Tip	Tree	Day_of_Harvest	13	2ndPreMPB	Non_MPB	Wet	0	506	2	164	11228	0	0	35	0	479	809	26	5537	35157	3
RT12	Root Tip	Tree	Day_of_Harvest	20	2ndPreMPB	Non_MPB	Wet	0	0	0	0	18	0	0	0	0	0	84	3	265	29376	100
RT13	Root Tip	Tree	Day_of_Harvest	21	2ndPreMPB	Non_MPB	Wet	0	31	0	0	485	0	0	0	0	0	37	0	164	21954	244
RT21	Root Tip	Tree	Day_of_Harvest	1	1stPostMPB	MPB	Wet	0	6	0	302	13291	0	0	4	0	72	181	55	523	26726	0
RT22	Root Tip	Tree	Day_of_Harvest	5	1stPostMPB	MPB	Wet	0	91	0	277	16696	0	0	207	0	617	1268	112	1762	29166	125
RT23	Root Tip	Tree	Day_of_Harvest	10	1stPostMPB	MPB	Wet	0	0	0	49	14253	0	0	0	0	111	69	0	171	55763	2
RT24	Root Tip	Tree	Day_of_Harvest	13	1stPostMPB	MPB	Wet	0	950	0	75	6448	0	0	0	0	175	727	81	1552	42807	29
RT25	Root Tip	Tree	Day_of_Harvest	14	1stPostMPB	MPB	Wet	5	27	0	335	11415	0	0	0	0	1172	56	28	188	44272	9
RT26	Root Tip	Tree	Day_of_Harvest	23	1stPostMPB	MPB	Wet	0	10	0	14	900	0	0	0	0	0	3	0	5	58158	0
RT27	Root Tip	Tree	Day_of_Harvest	30	1stPostMPB	MPB	Wet	0	173	0	0	449	0	0	0	0	31	18	0	75	15929	0
RT28	Root Tip	Tree	Day_of_Harvest	2	1stPreMPB	Non_MPB	Wet	0	0	0	32	13093	0	0	199	0	192	86	36	1169	55407	0
RT29	Root Tip	Tree	Day_of_Harvest	5	1stPreMPB	Non_MPB	Wet	0	12	0	11	9274	2	0	48	0	0	33	0	55	47987	0
RT30	Root Tip	Tree	Day_of_Harvest	8	1stPreMPB	Non_MPB	Wet	0	22	0	4	532	0	0	122	0	0	184	10	167	42637	0
RT31	Root Tip	Tree	Day_of_Harvest	17	1stPreMPB	Non_MPB	Wet	0	8	0	165	343	0	0	1795	0	62	1002	23	3764	32135	4
RT32	Root Tip	Tree	Day_of_Harvest	19	1stPreMPB	Non_MPB	Wet	0	7	0	12	17399	0	0	367	0	2	66	4	2288	32856	0
RT33	Root Tip	Tree	Day_of_Harvest	22	1stPreMPB	Non_MPB	Wet	0	0	0	0	23239	0	0	0	0	0	110	22	472	15928	13
RT34	Root Tip	Tree	Day_of_Harvest	27	1stPreMPB	Non_MPB	Wet	0	9	0	24	34057	0	0	18	0	7	116	5	119	50471	0
RT56	Root Tip	Tree	Day_of_Harvest	8	Old_Forest	Non_MPB	Wet	0	453	0	886	18979	0	0	57	0	10	727	90	2089	42370	18
RT57	Root Tip	Tree	Day_of_Harvest	12	Old_Forest	Non_MPB	Wet	72	91	0	19	6856	0	0	0	0	15	176	14	857	15125	37
RT58	Root Tip	Tree	Day_of_Harvest	13	Old_Forest	Non_MPB	Wet	111	1058	0	125	20944	0	0	0	0	175	581	34	2286	35974	0
RT59	Root Tip	Tree	Day_of_Harvest	19	Old_Forest	Non_MPB	Wet	22	78	0	310	8246	0	0	33	0	99	160	53	489	56212	0
RT60	Root Tip	Tree	Day_of_Harvest	23	Old_Forest	Non_MPB	Wet	8	1690	0	63	551	0	0	364	0	262	91	425	677	58154	0
RT61	Root Tip	Tree	Day_of_Harvest	26	Old_Forest	Non_MPB	Wet	0	0	0	22	10960	0	0	0	0	70	7	0	211	13548	10
