Sample	Sample_Type	Tree	Time_Point	Replicate	Treatment_LandUseHistory	MPB_Impacted	Treatment_Moisture	Acephala	Achroiostachys	Agaricus	Alternaria	Amanita	Antrodiella	Apiotrichum	Apseudocercosporella	Ascochyta	Aspergillus	Aureobasidium	Auricularia	Barrenia	Basidioascus	Beauveria	Bergerella	Bovista	Cadophora	Calonarius	Calvatia	Candida	Candolleomyces	Ceratobasidiaceae_gen_Incertae_sedis	Chaetomium	Chaetospermum	Chalara	Chroogomphus	Chrysozyma	Cladophialophora	Cladosporium	Clarireedia	Clitopilus	Clonostachys	Coleophoma	Coniochaeta	Coprinellus	Coprinopsis	Cortinarius	Cosmospora	Cristulariella	Curvularia	Cutaneotrichosporon	Cyphellophora	Cystobasidium	Darksidea	Debaryomyces	Didymosphaeria	Diversispora	Dothiora	Emericellopsis	Entoloma	Entomocorticium	Epicoccum	Erysiphe	Filobasidium	Fonsecaea	Fontanospora	Funneliformis	Furcasterigmium	Fusarium	Gaeumannomyces	Ganoderma	Gliomastix	Gloeopycnis	Gymnopilus	Gyoerffyella	Hanseniaspora	Harzia	Hebeloma	Helotiales_gen_Incertae_sedis	Humicola	Hyaloscyphaceae_gen_Incertae_sedis	Hydnum	Hygrophorus	Hypoderma	Ilyonectria	Inocybe	Juncaceicola	Knufia	Laccaria	Lachnum	Lactarius	Lentithecium	Leohumicola	Leucosporidium	Linnemannia	Lophiostoma	Lycoperdon	Lyophyllum	Macroconia	Mallocybe	Mariannaea	Megalocystidium	Metapochonia	Microbotryum	Microdochium	Minimelanolocus	Morchella	Mortierella	Mrakia	Mucor	Mycena	Mycodidymella	Myrtapenidiella	Naganishia	Neoantrodia	Neoascochyta	Neocucurbitaria	Neodidymelliopsis	Neofabraea	Neophaeomoniella	Nigrospora	Nodulosphaeria	Oculimacula	Odontia	Panaeolina	Papiliotrema	Parabartalinia	Paraboeremia	Paraleptosphaeria	Paraphaeosphaeria	Paraphoma	Penicillium	Pezicula	Peziza	Phenoliferia	Phialocephala	Phlebia	Phlebiopsis	Phlegmacium	Piloderma	Plectosphaerella	Pluteus	Polyozellus	Psathyrella	Pseudeurotium	Pseudofusicoccum	Pseudogymnoascus	Pseudopezicula	Pseudophaeomoniella	Pseudosperma	Pseudoteratosphaeria	Pyrenochaetopsis	Rhizopogon	Rhodosporidiobolus	Rhodotorula	Rickenella	Russula	Sarcodon	Satchmopsis	Sclerostagonospora	Sebacina	Selenophoma	Septoriella	Serendipita	Serendipitaceae_gen_Incertae_sedis	Simplicillium	Solicoccozyma	Stagonospora	Stagonosporopsis	Strobilurus	Subulicystidium	Suillus	Symmetrospora	Talaromyces	Thaxterogaster	Thelephora	Thelephoraceae_gen_Incertae_sedis	Thelonectria	Thyronectria	Tolypocladium	Tomentella	Tomentellopsis	Torula	Trichocladium	Trichoderma	Tricholoma	Tricladium	Tubaria	Umbelopsis	Unknown	Vacuiphoma	Venturia	Verticillium	Vishniacozyma	Vuilleminia	Wilcoxina	Xenodidymella	Xenopenidiella
SFSP100	Rhizosphere	Tree	Day_of_Harvest	6	1stPostMPB	MPB	Wet	247	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	10	0	2	0	0	14	0	0	374	0	0	15	0	0	5034	134	10	0	0	0	0	43	0	0	0	0	15	0	0	11	0	0	0	0	0	0	0	0	187	0	0	0	895	0	0	3	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	182	0	31	0	0	220	194	13152	0	56	0	31	3	0	0	0	0	0	0	0	423	257	3	0	5	0	343	0	0	0	0	6	0	0	0	22	0	0	0	15	482	0	81	21	157	0	0	0	0	0	0	0	6	0	0	0	0	1032	0	515	0	0	0	0	0	8	0	546	0	0	0	277	0	0	0	0	0	2	0	2299	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	14684	0	1920	6	0	0	54	0	0
SFSP101	Rhizosphere	Tree	Day_of_Harvest	8	1stPostMPB	MPB	Wet	813	13	0	70	0	0	0	0	0	0	0	0	0	514	0	0	0	23	0	2	0	0	0	0	0	297	0	50	42	0	0	4038	0	31	10	0	0	0	69	0	0	0	0	18	0	0	36	15	0	0	2	0	0	0	0	457	0	0	0	505	0	4	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	387	0	17	0	0	1038	1160	12364	0	21	0	0	0	0	0	0	0	0	0	0	12	725	0	0	143	0	182	0	0	0	0	7	0	0	0	158	0	0	0	67	718	0	23	4	263	0	0	0	0	0	0	2	0	0	0	0	0	1305	0	1340	0	0	0	0	0	60	0	29	0	0	0	1407	0	0	0	0	0	0	0	5387	0	0	0	0	0	0	0	0	429	0	0	0	4	49	0	0	0	40	0	0	0	22	35000	0	455	0	0	0	32	0	0
SFSP102	Rhizosphere	Tree	Day_of_Harvest	13	1stPostMPB	MPB	Wet	947	0	3	28	0	0	0	0	0	0	0	3	0	210	0	0	0	91	0	4	0	0	19	0	0	523	0	27	159	0	0	11859	0	119	18	0	0	0	105	0	0	0	0	34	0	0	10	3	0	0	0	0	0	0	0	1223	0	0	0	467	0	0	7	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	517	0	59	0	0	224	497	8255	0	44	0	0	0	0	0	0	0	0	0	0	105	593	0	0	20	0	84	0	0	0	0	14	0	0	15	30	0	0	0	13	1906	0	309	1431	658	0	0	0	0	0	0	0	0	0	8	0	0	1633	0	1615	0	0	0	0	0	9	0	287	6	0	0	651	0	0	0	19	0	2585	0	6177	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	93	0	0	0	0	17	47918	0	342	3	0	0	76	0	0
SFSP103	Rhizosphere	Tree	Day_of_Harvest	15	1stPostMPB	MPB	Wet	155	0	0	3	0	0	0	0	0	0	0	0	0	42	0	0	0	5	0	0	0	0	0	0	0	111	0	0	6	0	0	523	0	16	432	0	0	0	308	0	0	0	0	33	0	3	0	0	0	0	0	0	0	0	8	208	0	0	0	708	0	2	0	0	0	0	0	0	0	0	0	17	0	0	0	12	0	0	322	0	3	0	0	120	172	6008	0	4	0	0	0	0	0	0	0	0	0	0	266	45	0	0	43	0	14	0	0	0	0	0	0	0	0	122	0	0	0	9	152	0	6	8	34	0	0	0	0	0	0	0	0	0	3	0	0	293	0	568	0	0	0	0	0	22	0	11	0	0	0	203	0	0	0	0	0	0	0	1273	3	0	0	0	0	0	0	0	4005	0	0	0	0	0	0	0	13	0	0	0	0	9	31863	0	26	0	0	0	58	0	0
SFSP104	Rhizosphere	Tree	Day_of_Harvest	18	1stPostMPB	MPB	Wet	550	0	0	5	0	0	5	0	0	0	0	0	0	195	0	0	0	55	0	0	0	0	6	0	0	476	0	0	31	0	204	9528	57	128	26	0	0	6	93	0	0	0	0	90	0	0	24	7	0	0	0	0	0	0	3	676	0	0	0	213	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	253	0	51	0	0	365	753	6621	0	33	0	0	0	0	0	0	0	0	0	0	218	240	0	0	138	0	132	0	0	0	0	12	0	0	0	267	0	0	0	25	851	0	8	60	384	0	0	0	0	0	0	0	8	0	3	3	0	3835	0	1264	0	0	0	0	0	12	0	185	2	0	0	551	0	0	0	347	0	5	0	4256	0	0	0	0	0	0	0	0	69	0	0	0	6	0	0	0	0	12	4	0	0	17	32300	0	688	0	0	0	31	0	0
SFSP105	Rhizosphere	Tree	Day_of_Harvest	22	1stPostMPB	MPB	Wet	480	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	15	0	0	0	0	8	0	0	211	0	0	5	0	112	17164	131	19	63	0	0	0	93	0	0	0	0	54	0	0	5	0	0	7	2	0	0	0	0	207	0	0	6	251	0	2	3	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	67	0	27	0	0	227	271	16740	0	13	0	0	0	0	0	0	0	0	0	0	27	307	0	0	21	0	180	0	0	0	0	8	0	0	0	10	0	0	0	12	202	0	0	65	157	0	0	0	0	0	0	0	4	0	0	3	0	593	0	287	0	0	0	0	0	271	0	51	0	0	0	214	0	0	0	0	0	0	0	2102	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	13	19278	0	135	0	0	0	0	0	0
SFSP106	Rhizosphere	Tree	Day_of_Harvest	23	1stPostMPB	MPB	Wet	191	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	60	0	2	0	0	0	0	0	172	0	0	20	0	0	12541	0	29	18	0	0	0	50	0	0	0	0	38	0	0	6	0	0	0	0	0	0	0	0	1194	0	0	0	266	0	8	0	0	0	0	0	0	0	0	0	20	0	0	0	13	0	0	223	0	168	0	0	347	243	11827	0	32	0	0	0	0	0	0	0	0	0	0	503	95	0	0	247	0	80	0	0	0	0	10	0	0	3	84	0	0	0	35	258	0	0	20	140	0	0	0	0	0	0	0	4	0	0	0	0	812	0	1460	0	0	0	0	0	24	0	93	0	0	0	207	0	0	0	0	0	0	0	4322	0	0	0	0	0	3	0	0	1047	0	0	0	0	0	0	0	0	0	0	0	0	5	53587	0	231	0	0	0	57	0	0
SFSP107	Rhizosphere	Tree	Day_of_Harvest	25	1stPostMPB	MPB	Wet	858	0	3	6	0	0	0	0	0	0	0	0	0	150	0	0	0	87	0	6	0	0	8	0	0	740	0	5	17	0	0	23673	2	195	0	0	0	3	104	0	0	0	0	103	0	0	25	4	0	0	11	0	0	0	0	365	0	0	0	104	0	20	0	0	0	0	0	0	0	9	0	35	0	0	0	29	0	0	155	0	76	0	0	881	815	42979	0	52	0	0	0	0	0	0	0	0	0	0	226	618	0	0	19	0	92	0	0	0	0	8	0	0	0	45	0	0	0	38	4268	0	62	217	203	0	0	0	4	0	0	0	0	0	6	0	7	1981	0	1004	0	0	0	0	0	13	0	95	0	0	0	760	0	0	0	0	0	0	0	4853	0	0	0	0	0	0	0	0	66	0	0	0	7	0	0	0	0	14	0	0	0	16	18983	0	1758	10	0	0	316	0	0
SFSP108	Rhizosphere	Tree	Day_of_Harvest	2	1stPreMPB	Non_MPB	Wet	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	9	0	0	13	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	2	0	0	0	0	32	0	0	0	280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	9	0	0	0	0	0	354	21336	0	23	0	0	0	0	0	0	0	0	0	0	195	4	0	0	26	0	12	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	17	135	0	0	0	0	0	0	0	0	0	0	0	0	3076	0	71	0	0	0	0	0	6	0	6	0	3	0	398	0	0	0	0	5	0	0	966	0	0	0	0	0	0	0	0	1230	0	0	0	0	0	0	0	0	0	0	0	0	0	30458	0	41	0	0	0	40	0	0
SFSP109	Rhizosphere	Tree	Day_of_Harvest	6	1stPreMPB	Non_MPB	Wet	137	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	209	0	0	36	0	0	35	0	29	48	0	0	0	0	0	0	0	0	728	0	0	0	0	0	0	0	0	0	0	0	181	0	0	0	1535	0	0	0	0	0	0	0	0	0	50	0	13	0	0	0	0	0	0	26	0	0	0	0	0	412	11055	0	9	0	0	0	0	0	0	0	0	0	0	4	94	0	0	156	0	122	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	283	0	0	0	0	0	0	0	0	0	0	0	0	436	0	43	0	0	0	0	0	11	0	0	0	0	0	763	0	0	0	0	0	0	0	1108	0	0	0	0	0	0	0	0	230	0	0	0	0	0	0	0	0	11	0	0	0	8	35606	0	100	0	0	0	41	0	0
