Sample	Sample_Type	Tree	Time_Point	Replicate	Treatment_LandUseHistory	MPB_Impacted	Treatment_Moisture	Amanita_pseudopantherina	Calonarius_caesiocinctus	Chroogomphus_pakistanicus	Cortinarius_albidipes	Cortinarius_alboadustus	Cortinarius_brunneoaffinis	Cortinarius_cepistipes	Cortinarius_clarisordidus	Cortinarius_collangustus	Cortinarius_deceptivissimus	Cortinarius_decipiens	Cortinarius_kauffmanianus	Cortinarius_majorinus	Cortinarius_miwok	Cortinarius_mucosus	Cortinarius_parvannulatus	Cortinarius_paululus	Cortinarius_subcarneinatus	Cortinarius_turgidipes	Hebeloma_erebium	Hebeloma_pungens	Hydnum_pallidomarginatum	Hydnum_subolympicum	Hygrophorus_fuscoalboides	Inocybe_purpureobadia	Inocybe_silvae-herbaceae	Laccaria_fagacicola	Lactarius_aurantiacopallens	Lactarius_miniatosporus	Mallocybe_sp	Phlegmacium_subfoetens	Piloderma_bicolor	Piloderma_lanatum	Piloderma_sp	Polyozellus_mariae	Pseudosperma_emberizanum	Rhizopogon_ellenae	Rhizopogon_sp	Russula_cremicolor	Russula_indocatillus	Russula_pseudotsugarum	Sarcodon_lidongensis	Suillus_luteus	Thaxterogaster_argyrionus	Thaxterogaster_rhipiduranus	Thelephora_atra	Thelephora_caryophyllea	Thelephora_sp	Tomentella_lammiensis	Tomentella_sp	Tomentellopsis_echinospora	Tomentellopsis_sp	Tricholoma_badicephalum	Tricholoma_bonii	Tricholoma_olivaceum	Tricholoma_populinum	Unknown	Wilcoxina_rehmii
SFSP100	Rhizosphere	Tree	Day_of_Harvest	6	1stPostMPB	MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	4	0	0	0	8	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	54
SFSP101	Rhizosphere	Tree	Day_of_Harvest	8	1stPostMPB	MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	429	0	49	0	0	0	0	0	0	3	32
SFSP102	Rhizosphere	Tree	Day_of_Harvest	13	1stPostMPB	MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	76
SFSP103	Rhizosphere	Tree	Day_of_Harvest	15	1stPostMPB	MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	4005	0	0	0	0	0	0	0	0	0	58
SFSP104	Rhizosphere	Tree	Day_of_Harvest	18	1stPostMPB	MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	3	0	0	12	0	0	0	0	0	0	0	0	0	69	0	0	0	0	4	0	0	0	6	31
SFSP105	Rhizosphere	Tree	Day_of_Harvest	22	1stPostMPB	MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	267	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	4	0
SFSP106	Rhizosphere	Tree	Day_of_Harvest	23	1stPostMPB	MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	24	0	0	0	0	0	0	0	0	0	1047	0	0	0	0	0	0	0	0	0	57
SFSP107	Rhizosphere	Tree	Day_of_Harvest	25	1stPostMPB	MPB	Wet	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	316
SFSP108	Rhizosphere	Tree	Day_of_Harvest	2	1stPreMPB	Non_MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	6	0	3	0	0	0	0	0	0	0	1230	0	0	0	0	0	0	0	0	0	40
SFSP109	Rhizosphere	Tree	Day_of_Harvest	6	1stPreMPB	Non_MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	230	0	0	0	0	0	0	0	0	0	41
