Sample	Sample_Type	Tree	Time_Point	Replicate	Treatment_LandUseHistory	MPB_Impacted	Treatment_Moisture	Amanita	Calonarius	Chroogomphus	Cortinarius	Hebeloma	Hydnum	Hygrophorus	Inocybe	Laccaria	Lactarius	Mallocybe	Phlegmacium	Piloderma	Polyozellus	Pseudosperma	Rhizopogon	Russula	Sarcodon	Suillus	Thaxterogaster	Thelephora	Tomentella	Tomentellopsis	Tricholoma	Wilcoxina
RT10	Root Tip	Tree	Day_of_Harvest	11	2ndPreMPB	Non_MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	33723	0	0	0	105
RT11	Root Tip	Tree	Day_of_Harvest	13	2ndPreMPB	Non_MPB	Wet	0	0	0	0	0	0	0	249	0	0	0	0	23	0	0	8187	0	0	0	0	42	0	0	0	2727
RT12	Root Tip	Tree	Day_of_Harvest	20	2ndPreMPB	Non_MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0
RT13	Root Tip	Tree	Day_of_Harvest	21	2ndPreMPB	Non_MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	264	0	0	0	0	0	0	0	0	0	0	0	221
RT21	Root Tip	Tree	Day_of_Harvest	1	1stPostMPB	MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	13283	0	0	0	0
RT22	Root Tip	Tree	Day_of_Harvest	5	1stPostMPB	MPB	Wet	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	8740	0	0	0	0	40	0	0	0	7907
RT23	Root Tip	Tree	Day_of_Harvest	10	1stPostMPB	MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	14213	0	0	0	37
RT24	Root Tip	Tree	Day_of_Harvest	13	1stPostMPB	MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5520	0	0	0	0	58	0	0	0	870
RT25	Root Tip	Tree	Day_of_Harvest	14	1stPostMPB	MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	92	0	0	0	0	11294	0	0	0	26
RT26	Root Tip	Tree	Day_of_Harvest	23	1stPostMPB	MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	2	0	0	0	867	0	0	0	7
RT27	Root Tip	Tree	Day_of_Harvest	30	1stPostMPB	MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	428	0	0	0	0	16	0	0	0	5
RT28	Root Tip	Tree	Day_of_Harvest	2	1stPreMPB	Non_MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	2	0	13058	0	0	0	27
RT29	Root Tip	Tree	Day_of_Harvest	5	1stPreMPB	Non_MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9263	0	0	0	11
RT30	Root Tip	Tree	Day_of_Harvest	8	1stPreMPB	Non_MPB	Wet	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	34	0	0	0	0	466	0	0	0	26
