Sample	Sample_Type	Tree	Time_Point	Replicate	Treatment_LandUseHistory	MPB_Impacted	Treatment_Moisture	Acephala_sp	Agaricus_agrinferus	Agaricus_arvensis	Agaricus_zhangyensis	Alternaria_ellipsoidea	Alternaria_multirostrata	Alternaria_nepalensis	Amanita_pseudopantherina	Antrodiella_faginea	Apiotrichum_sporotrichoides	Apseudocercosporella_trigonotidis	Ascochyta_medicaginicola_var._macrospora	Aspergillus_sigurros	Aureobasidium_castaneae	Auricularia_subglabra	Auricularia_submesenterica	Barrenia_panici	Basidioascus_undulatus	Beauveria_varroae	Bergerella_atrofusca	Bovista_cretacea	Cadophora_domestica	Calonarius_caesiocinctus	Calvatia_fragilis	Candida_orthopsilosis	Candida_pseudoglaebosa	Candolleomyces_cacao	Ceratobasidiaceae_sp	Chaetomium_cervicicola	Chaetospermum_sp	Chalara_recta	Chroogomphus_pakistanicus	Chrysozyma_pseudogriseoflava	Cladophialophora_humicola	Cladosporium_aphidis	Clarireedia_paspali	Clitopilus_brunneiceps	Clonostachys_divergens	Coleophoma_camelliae	Coniochaeta_vineae	Coprinellus_sclerocystidiosus	Coprinopsis_marcescibilis	Cortinarius_albidipes	Cortinarius_alboadustus	Cortinarius_brunneoaffinis	Cortinarius_cepistipes	Cortinarius_clarisordidus	Cortinarius_collangustus	Cortinarius_deceptivissimus	Cortinarius_decipiens	Cortinarius_kauffmanianus	Cortinarius_majorinus	Cortinarius_miwok	Cortinarius_mucosus	Cortinarius_parvannulatus	Cortinarius_paululus	Cortinarius_subcarneinatus	Cortinarius_turgidipes	Cristulariella_depraedans	Curvularia_siddiquii	Cutaneotrichosporon_dermatis	Cyphellophora_eucalypti	Cyphellophora_vermispora	Cystobasidium_raffinophilum	Cystobasidium_terricola	Darksidea_zeta	Debaryomyces_robertsiae	Didymosphaeria_variabile	Diversispora_spurca	Dothiora_europaea	Emericellopsis_glabra	Entoloma_aurorae-borealis	Entoloma_fuscohebes	Entoloma_tibiicystidiatum	Entomocorticium_portiae	Epicoccum_thailandicum	Erysiphe_polygoni	Filobasidium_magnum	Filobasidium_oeirense	Fonsecaea_nubica	Fontanospora_fusiramosa	Funneliformis_caledonium	Furcasterigmium_furcatum	Fusarium_algeriense	Fusarium_brevicatenulatum	Fusarium_croci	Fusarium_nelsonii	Gaeumannomyces_hyphopodioides	Ganoderma_carocalcareum	Gliomastix_roseogrisea	Gloeopycnis_protuberans	Gymnopilus_aurantiophyllus	Gyoerffyella_sp	Hanseniaspora_nectarophila	Harzia_acremonioides	Hebeloma_erebium	Hebeloma_pungens	Helotiales_sp	Humicola_zollerniae	Hyaloscyphaceae_sp	Hydnum_pallidomarginatum	Hydnum_subolympicum	Hygrophorus_fuscoalboides	Hypoderma_siculum	Ilyonectria_mors-panacis	Inocybe_purpureobadia	Inocybe_silvae-herbaceae	Juncaceicola_padellana	Knufia_tsunedae	Laccaria_fagacicola	Lachnum_impudicum	Lactarius_aurantiacopallens	Lactarius_miniatosporus	Lentithecium_pseudoclioninum	Leohumicola_atra	Leucosporidium_escuderoi	Linnemannia_amoeboidea	Linnemannia_camargensis	Lophiostoma_rosae	Lycoperdon_echinatum	Lycoperdon_ericaeum	Lycoperdon_nigrescens	Lyophyllum_shimeji	Macroconia_bulbipes	Mallocybe_sp	Mariannaea_camptospora	Megalocystidium_perticatum	Metapochonia_hahajimaensis	Microbotryum_violaceum	Microdochium_lycopodinum	Minimelanolocus_clavatus	Morchella_tasmanica	Mortierella_alliacea	Mortierella_fluviae	Mortierella_wuyishanensis	Mrakia_niccombsii	Mycena_megaspora	Mycodidymella_aesculi	Naganishia_bhutanensis	Naganishia_diffluens	Naganishia_vishniacii	Neoantrodia_infirma	Neoantrodia_serialis	Neoascochyta_tardicrescens	Neocucurbitaria_aetnensis	Neocucurbitaria_rhamnioides	Neodidymelliopsis_negundinis	Neofabraea_salicina	Neophaeomoniella_constricta	Nodulosphaeria_thalictri	Oculimacula_yallundae	Odontia_sp	Panaeolina_foenisecii	Papiliotrema_nemorosa	Parabartalinia_lateralis	Paraboeremia_selaginellae	Paraleptosphaeria_nitschkei	Paraphaeosphaeria_neglecta	Paraphoma_ledniceana	Paraphoma_pye	Penicillium_alutaceum	Penicillium_coprobium	Penicillium_janczewskii	Penicillium_madriti	Penicillium_oregonense	Penicillium_vasconiae	Peziza_montirivicola	Phenoliferia_psychrophenolica	Phialocephala_amethystea	Phialocephala_helenae	Phlebia_rufa	Phlebiopsis_sp	Phlegmacium_subfoetens	Piloderma_bicolor	Piloderma_lanatum	Piloderma_sp	Plectosphaerella_melonis	Pluteus_kovalenkoi	Polyozellus_mariae	Psathyrella_carinthiaca	Pseudeurotium_desertorum	Pseudofusicoccum_olivaceum	Pseudogymnoascus_roseus	Pseudopezicula_betulae	Pseudosperma_emberizanum	Pseudoteratosphaeria_perpendicularis	Pyrenochaetopsis_kuksensis	Rhizopogon_ellenae	Rhizopogon_sp	Rhodosporidiobolus_azoricus	Rhodotorula_dairenensis	Rhodotorula_kratochvilovae	Rickenella_indica	Russula_cremicolor	Russula_indocatillus	Russula_pseudotsugarum	Sarcodon_lidongensis	Satchmopsis_metrosideri	Sclerostagonospora_cycadis	Sebacina_sp	Selenophoma_mahoniae	Septoriella_hibernica	Septoriella_oudemansii	Serendipita_sp	Serendipita_vermifera	Serendipitaceae_sp	Simplicillium_lanosoniveum	Solicoccozyma_aeria	Stagonospora_forlicesenensis	Strobilurus_conigenoides	Strobilurus_pachycystidiatus	Subulicystidium_perlongisporum	Suillus_luteus	Symmetrospora_proteacearum	Talaromyces_oumae-annae	Thaxterogaster_argyrionus	Thaxterogaster_rhipiduranus	Thelephora_atra	Thelephora_caryophyllea	Thelephora_sp	Thelephoraceae_sp	Thelonectria_blackeriella	Thyronectria_coryli	Tolypocladium_geodes	Tomentella_lammiensis	Tomentella_sp	Tomentellopsis_echinospora	Tomentellopsis_sp	Torula_lancangjiangensis	Trichocladium_antarcticum	Trichoderma_atlanticum	Trichoderma_austrokoningii	Trichoderma_ochroleucum	Trichoderma_sinense	Tricholoma_badicephalum	Tricholoma_bonii	Tricholoma_olivaceum	Tricholoma_populinum	Tricladium_marylandicum	Tubaria_similis	Umbelopsis_angularis	Unknown	Vacuiphoma_bulgarica	Venturia_albae	Venturia_catenospora	Venturia_mandshurica	Venturia_saliciperda	Verticillium_albo-atrum	Vishniacozyma_psychrotolerans	Vuilleminia_alni	Wilcoxina_rehmii	Xenodidymella_camporesii	Xenopenidiella_nigrescens
RT10	Root Tip	Tree	Day_of_Harvest	11	2ndPreMPB	Non_MPB	Wet	3388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	23	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	853	0	0	0	0	0	0	0	0	0	0	0	0	0	33723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12771	0	0	2	0	0	0	0	0	105	0	0
RT11	Root Tip	Tree	Day_of_Harvest	13	2ndPreMPB	Non_MPB	Wet	7641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	86	0	0	99	0	21	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	2	0	0	0	0	0	0	0	0	0	0	506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	42	0	27	0	0	0	0	0	0	249	0	0	0	0	0	0	0	12	2548	47	2314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	408	37	169	0	0	16	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	164	0	26	0	0	0	0	0	8187	0	0	145	0	0	0	0	0	649	0	0	0	0	0	0	0	6999	0	73	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	20533	0	0	0	0	0	0	0	0	2727	0	0
RT12	Root Tip	Tree	Day_of_Harvest	20	2ndPreMPB	Non_MPB	Wet	2298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27127	0	0	0	0	0	0	0	0	0	0	0
RT13	Root Tip	Tree	Day_of_Harvest	21	2ndPreMPB	Non_MPB	Wet	4898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16859	0	0	0	0	0	0	0	0	221	0	0
RT21	Root Tip	Tree	Day_of_Harvest	1	1stPostMPB	MPB	Wet	12626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	13	0	59	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	145	0	0	1306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	302	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	244	0	0	0	0	0	0	0	0	0	0	0	13283	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	12909	0	0	0	0	0	0	0	0	0	0	0
RT22	Root Tip	Tree	Day_of_Harvest	5	1stPostMPB	MPB	Wet	7149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	38	0	0	0	0	0	0	0	0	0	207	0	0	0	0	0	115	0	336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	42	9	825	0	0	0	228	141	86	11898	0	0	5	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	104	0	0	0	5	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	277	0	70	0	0	0	0	0	8740	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	942	0	0	4	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	10727	0	0	0	0	0	0	0	0	7907	0	0
RT23	Root Tip	Tree	Day_of_Harvest	10	1stPostMPB	MPB	Wet	408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	23	0	0	2	0	0	24	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	37	57	0	328	0	0	0	0	2	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	14213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	55037	0	0	0	0	0	0	0	0	37	0	0
RT24	Root Tip	Tree	Day_of_Harvest	13	1stPostMPB	MPB	Wet	26787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	35	0	10	0	0	0	0	0	0	427	0	0	90	0	0	27	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	950	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	69	0	4	0	0	0	397	86	424	1461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	37	0	26	0	82	0	26	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	12	0	0	0	0	0	5520	0	43	68	9	0	0	0	0	222	0	0	0	0	0	0	0	3999	0	55	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	10792	0	0	0	0	0	0	0	0	870	0	0
RT25	Root Tip	Tree	Day_of_Harvest	14	1stPostMPB	MPB	Wet	11178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	16	7	1074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	65	0	16	180	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	335	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	28	0	30	0	0	0	0	0	0	0	0	0	0	0	11294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32945	0	0	0	0	0	0	0	0	26	0	0
RT26	Root Tip	Tree	Day_of_Harvest	23	1stPostMPB	MPB	Wet	1288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	24	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56585	0	0	0	0	0	0	0	0	7	0	0
