accession	message	sample_name	sample_title	bioproject_accession	organism	host	isolation_source	collection_date	geo_loc_name	lat_lon	unit_name	landusehistory	year_cut	transect	soil_depth
SAMN56617091	Successfully loaded	SFSP1	Field_ITS_SFSP1		soil metagenome	soil	Field_Soil_SFSP1	2022-08	USA: Colorado	not collected	Gould Mtn 10	2nd Pre-MPB	1992	3	5-15cm
SAMN56617092	Successfully loaded	SFSP2	Field_ITS_SFSP2		soil metagenome	soil	Field_Soil_SFSP2	2022-08	USA: Colorado	not collected	Gould Base	Recent Cuts	2019	1	5-15cm
SAMN56617093	Successfully loaded	SFSP3	Field_ITS_SFSP3		soil metagenome	soil	Field_Soil_SFSP3	2022-08	USA: Colorado	not collected	Gould Crest	Recent Cuts	2018	2	5-15cm
SAMN56617094	Successfully loaded	SFSP4	Field_ITS_SFSP4		soil metagenome	soil	Field_Soil_SFSP4	2022-08	USA: Colorado	not collected	Gould Mtn South 1	2nd Pre-MPB	1996	1	5-15cm
SAMN56617095	Successfully loaded	SFSP5	Field_ITS_SFSP5		soil metagenome	soil	Field_Soil_SFSP5	2022-08	USA: Colorado	not collected	Gould Mtn 17	1st Pre-MPB	1989	2	5-15cm
SAMN56617096	Successfully loaded	SFSP6	Field_ITS_SFSP6		soil metagenome	soil	Field_Soil_SFSP6	2022-08	USA: Colorado	not collected	Gould Crest	Recent Cuts	2018	1	5-15cm
SAMN56617097	Successfully loaded	SFSP7	Field_ITS_SFSP7		soil metagenome	soil	Field_Soil_SFSP7	2022-08	USA: Colorado	not collected	Gould Mtn 17	1st Pre-MPB	1989	3	5-15cm
SAMN56617098	Successfully loaded	SFSP8	Field_ITS_SFSP8		soil metagenome	soil	Field_Soil_SFSP8	2022-08	USA: Colorado	not collected	Gould Base	Recent Cuts	2019	2	5-15cm
SAMN56617099	Successfully loaded	SFSP9	Field_ITS_SFSP9		soil metagenome	soil	Field_Soil_SFSP9	2022-08	USA: Colorado	not collected	Gould Base	Recent Cuts	2019	3	5-15cm
SAMN56617100	Successfully loaded	SFSP10	Field_ITS_SFSP10		soil metagenome	soil	Field_Soil_SFSP10	2022-08	USA: Colorado	not collected	Gould Mtn16	1st Pre-MPB	1988	3	5-15cm
SAMN56617101	Successfully loaded	SFSP11	Field_ITS_SFSP11		soil metagenome	soil	Field_Soil_SFSP11	2022-08	USA: Colorado	not collected	Gould Mtn 10	2nd Pre-MPB	1992	2	5-15cm
SAMN56617102	Successfully loaded	SFSP12	Field_ITS_SFSP12		soil metagenome	soil	Field_Soil_SFSP12	2022-08	USA: Colorado	not collected	Gould Mtn16	1st Pre-MPB	1988	2	5-15cm
