accession	study	object_status	bioproject_accession	biosample_accession	sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file
SRR37714806	SRP685577	new	PRJNA1440534	SAMN56617091	SFSP1	Field_ITS_SFSP1	SFSP1_Field_ITS_reads	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	NA	fastq	SFSP1_45_L001_R1_001.fastq.gz	SFSP1_45_L001_R2_001.fastq.gz				
SRR37714805	SRP685577	new	PRJNA1440534	SAMN56617092	SFSP2	Field_ITS_SFSP2	SFSP2_Field_ITS_reads	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	NA	fastq	SFSP2_84_L001_R1_001.fastq.gz	SFSP2_84_L001_R2_001.fastq.gz				
SRR37714614	SRP685577	new	PRJNA1440534	SAMN56617093	SFSP3	Field_ITS_SFSP3	SFSP3_Field_ITS_reads	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	NA	fastq	SFSP3_100_L001_R1_001.fastq.gz	SFSP3_100_L001_R2_001.fastq.gz				
SRR37714655	SRP685577	new	PRJNA1440534	SAMN56617094	SFSP4	Field_ITS_SFSP4	SFSP4_Field_ITS_reads	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	NA	fastq	SFSP4_115_L001_R1_001.fastq.gz	SFSP4_115_L001_R2_001.fastq.gz				
SRR37714644	SRP685577	new	PRJNA1440534	SAMN56617095	SFSP5	Field_ITS_SFSP5	SFSP5_Field_ITS_reads	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	NA	fastq	SFSP5_97_L001_R1_001.fastq.gz	SFSP5_97_L001_R2_001.fastq.gz				
SRR37714633	SRP685577	new	PRJNA1440534	SAMN56617096	SFSP6	Field_ITS_SFSP6	SFSP6_Field_ITS_reads	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	NA	fastq	SFSP6_113_L001_R1_001.fastq.gz	SFSP6_113_L001_R2_001.fastq.gz				
SRR37714590	SRP685577	new	PRJNA1440534	SAMN56617097	SFSP7	Field_ITS_SFSP7	SFSP7_Field_ITS_reads	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	NA	fastq	SFSP7_135_L001_R1_001.fastq.gz	SFSP7_135_L001_R2_001.fastq.gz				
SRR37714579	SRP685577	new	PRJNA1440534	SAMN56617098	SFSP8	Field_ITS_SFSP8	SFSP8_Field_ITS_reads	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	NA	fastq	SFSP8_57_L001_R1_001.fastq.gz	SFSP8_57_L001_R2_001.fastq.gz				
SRR37714568	SRP685577	new	PRJNA1440534	SAMN56617099	SFSP9	Field_ITS_SFSP9	SFSP9_Field_ITS_reads	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	NA	fastq	SFSP9_87_L001_R1_001.fastq.gz	SFSP9_87_L001_R2_001.fastq.gz				
SRR37714701	SRP685577	new	PRJNA1440534	SAMN56617100	SFSP10	Field_ITS_SFSP10	SFSP10_Field_ITS_reads	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	NA	fastq	SFSP10_69_L001_R1_001.fastq.gz	SFSP10_69_L001_R2_001.fastq.gz				
