Title,Notes,LandUseHistory,YearCut,Latitude,Longitude,Northing,Easting,Elevation
Custer Loop 1 Unit 1 Greenhouse Harvest Early MPB 1,Same site for both Early MPB harvest locations owing to weather,Early MPB,2009,40.591984,-106.02095,4493965.871,413608.5257,2660.743164
Custer Loop 1 Unit 1 Greenhouse Harvest Early MPB 2 ,Same site for both Early MPB harvest locations owing to weather,Early MPB,2009,40.59192346,-106.0212462,4493959.442,413583.3868,2658.5979
Gould Mtn 16 Greenhouse Harvest,,1st Pre MPB,1988,40.53512771,-105.9918055,4487626.427,416003.685,
Gould Mtn 17 Greenhouse Harvest,,1st Pre MPB,1989,40.53244035,-105.9959849,4487332.112,415646.3549,2964.756104
Gould Mtn. Block 10 Greenhouse Harvest,,2nd Pre MPB,1992,40.54247814,-106.0092521,4488459.119,414535.4488,2849.385498
Gould Mtn. South 1 Greenhouse Harvest,,2nd Pre MPB,1996,40.52952285,-106.000182,4487012.285,415287.205,
Hidden Grouse 6 Late MPB Greenhouse Harvest,,Late MPB,2013,40.58619479,-105.997372,4493300.378,415596.4175,2740.837646
Hidden Grouse 9 Greenhouse Harvest,,Late MPB,2012,40.59409418,-106.0044799,4494184.08,415004.9005,2704.743896
Old Forest 2 Greenhouse Harvest,,Old Forest,Matrix Forest,40.54564093,-106.0125452,4488813.399,414260.6126,
Old Forest Gould Crest (?) Greenhouse Harvest,,Old Forest,Matrix Forest,40.53076041,-105.9987495,4487148.283,415410.0951,
Recent Cut 2 Greenhouse Harvest (Gould Slab),,Recent Cut,2018,40.53838409,-106.000864,4487996.566,415240.6089,2906.688965
Recent Cuts Big Gould Site Greenhouse Harvest (Gould Crest),,Recent Cut,2018,40.52770133,-105.9956269,4486805.724,415670.7317,
