accession	study	object_status	bioproject_accession	biosample_accession	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file
SRR37734475	SRP685577	new	PRJNA1440534	SAMN56660635	Greenhouse_16S_SFGB100	SFGB100_Greenhouse_16S_reads	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	NA	fastq	SFGB100_13_L001_R1_001.fastq.gz	SFGB100_13_L001_R2_001.fastq.gz				
SRR37734474	SRP685577	new	PRJNA1440534	SAMN56660636	Greenhouse_16S_SFGB101	SFGB101_Greenhouse_16S_reads	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	NA	fastq	SFGB101_84_L001_R1_001.fastq.gz	SFGB101_84_L001_R2_001.fastq.gz				
SRR37734463	SRP685577	new	PRJNA1440534	SAMN56660637	Greenhouse_16S_SFGB102	SFGB102_Greenhouse_16S_reads	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	NA	fastq	SFGB102_155_L001_R1_001.fastq.gz	SFGB102_155_L001_R2_001.fastq.gz				
SRR37734452	SRP685577	new	PRJNA1440534	SAMN56660638	Greenhouse_16S_SFGB103	SFGB103_Greenhouse_16S_reads	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	NA	fastq	SFGB103_18_L001_R1_001.fastq.gz	SFGB103_18_L001_R2_001.fastq.gz				
SRR37734441	SRP685577	new	PRJNA1440534	SAMN56660639	Greenhouse_16S_SFGB104	SFGB104_Greenhouse_16S_reads	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	NA	fastq	SFGB104_60_L001_R1_001.fastq.gz	SFGB104_60_L001_R2_001.fastq.gz				
SRR37734430	SRP685577	new	PRJNA1440534	SAMN56660640	Greenhouse_16S_SFGB105	SFGB105_Greenhouse_16S_reads	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	NA	fastq	SFGB105_66_L001_R1_001.fastq.gz	SFGB105_66_L001_R2_001.fastq.gz				
SRR37734420	SRP685577	new	PRJNA1440534	SAMN56660641	Greenhouse_16S_SFGB106	SFGB106_Greenhouse_16S_reads	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	NA	fastq	SFGB106_16_L001_R1_001.fastq.gz	SFGB106_16_L001_R2_001.fastq.gz				
SRR37734419	SRP685577	new	PRJNA1440534	SAMN56660642	Greenhouse_16S_SFGB107	SFGB107_Greenhouse_16S_reads	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	NA	fastq	SFGB107_17_L001_R1_001.fastq.gz	SFGB107_17_L001_R2_001.fastq.gz				
SRR37734418	SRP685577	new	PRJNA1440534	SAMN56660643	Greenhouse_16S_SFGB108	SFGB108_Greenhouse_16S_reads	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	NA	fastq	SFGB108_8_L001_R1_001.fastq.gz	SFGB108_8_L001_R2_001.fastq.gz				
SRR37734417	SRP685577	new	PRJNA1440534	SAMN56660644	Greenhouse_16S_SFGB109	SFGB109_Greenhouse_16S_reads	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	NA	fastq	SFGB109_91_L001_R1_001.fastq.gz	SFGB109_91_L001_R2_001.fastq.gz				
SRR37734473	SRP685577	new	PRJNA1440534	SAMN56660645	Greenhouse_16S_SFGB110	SFGB110_Greenhouse_16S_reads	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	NA	fastq	SFGB110_37_L001_R1_001.fastq.gz	SFGB110_37_L001_R2_001.fastq.gz				
SRR37734472	SRP685577	new	PRJNA1440534	SAMN56660646	Greenhouse_16S_SFGB111	SFGB111_Greenhouse_16S_reads	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	NA	fastq	SFGB111_2_L001_R1_001.fastq.gz	SFGB111_2_L001_R2_001.fastq.gz				
SRR37734471	SRP685577	new	PRJNA1440534	SAMN56660647	Greenhouse_16S_SFGB112	SFGB112_Greenhouse_16S_reads	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	NA	fastq	SFGB112_33_L001_R1_001.fastq.gz	SFGB112_33_L001_R2_001.fastq.gz				
SRR37734470	SRP685577	new	PRJNA1440534	SAMN56660648	Greenhouse_16S_SFGB113	SFGB113_Greenhouse_16S_reads	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	NA	fastq	SFGB113_75_L001_R1_001.fastq.gz	SFGB113_75_L001_R2_001.fastq.gz				
SRR37734469	SRP685577	new	PRJNA1440534	SAMN56660649	Greenhouse_16S_SFGB114	SFGB114_Greenhouse_16S_reads	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	NA	fastq	SFGB114_101_L001_R1_001.fastq.gz	SFGB114_101_L001_R2_001.fastq.gz				
SRR37734468	SRP685577	new	PRJNA1440534	SAMN56660650	Greenhouse_16S_SFGB115	SFGB115_Greenhouse_16S_reads	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	NA	fastq	SFGB115_59_L001_R1_001.fastq.gz	SFGB115_59_L001_R2_001.fastq.gz				
SRR37734467	SRP685577	new	PRJNA1440534	SAMN56660651	Greenhouse_16S_SFGB140	SFGB140_Greenhouse_16S_reads	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	NA	fastq	SFGB140_11_L001_R1_001.fastq.gz	SFGB140_11_L001_R2_001.fastq.gz				
SRR37734466	SRP685577	new	PRJNA1440534	SAMN56660652	Greenhouse_16S_SFGB141	SFGB141_Greenhouse_16S_reads	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	NA	fastq	SFGB141_113_L001_R1_001.fastq.gz	SFGB141_113_L001_R2_001.fastq.gz				
SRR37734465	SRP685577	new	PRJNA1440534	SAMN56660653	Greenhouse_16S_SFGB142	SFGB142_Greenhouse_16S_reads	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	NA	fastq	SFGB142_29_L001_R1_001.fastq.gz	SFGB142_29_L001_R2_001.fastq.gz				
