accession	message	sample_name	sample_title	bioproject_accession	organism	host	isolation_source	collection_date	geo_loc_name	lat_lon	sample_type	time_point	replicate	treatment_landusehistory	salvage_harvest_status
SAMN56660592	Successfully loaded	RT10	Greenhouse_ITS_RT10		soil metagenome	soil	Greenhouse_ITS_RT10	2024-09	USA: Colorado	not collected	Root Tip	Day_of_Harvest	11	2nd Pre-MPB	Non_Salvage_Harvested
SAMN56660593	Successfully loaded	RT11	Greenhouse_ITS_RT11		soil metagenome	soil	Greenhouse_ITS_RT11	2024-09	USA: Colorado	not collected	Root Tip	Day_of_Harvest	13	2nd Pre-MPB	Non_Salvage_Harvested
SAMN56660594	Successfully loaded	RT12	Greenhouse_ITS_RT12		soil metagenome	soil	Greenhouse_ITS_RT12	2024-09	USA: Colorado	not collected	Root Tip	Day_of_Harvest	20	2nd Pre-MPB	Non_Salvage_Harvested
SAMN56660595	Successfully loaded	RT13	Greenhouse_ITS_RT13		soil metagenome	soil	Greenhouse_ITS_RT13	2024-09	USA: Colorado	not collected	Root Tip	Day_of_Harvest	21	2nd Pre-MPB	Non_Salvage_Harvested
SAMN56660596	Successfully loaded	RT21	Greenhouse_ITS_RT21		soil metagenome	soil	Greenhouse_ITS_RT21	2024-09	USA: Colorado	not collected	Root Tip	Day_of_Harvest	1	1st Post-MPB	Salvage_Harvested
SAMN56660597	Successfully loaded	RT22	Greenhouse_ITS_RT22		soil metagenome	soil	Greenhouse_ITS_RT22	2024-09	USA: Colorado	not collected	Root Tip	Day_of_Harvest	5	1st Post-MPB	Salvage_Harvested
SAMN56660598	Successfully loaded	RT23	Greenhouse_ITS_RT23		soil metagenome	soil	Greenhouse_ITS_RT23	2024-09	USA: Colorado	not collected	Root Tip	Day_of_Harvest	10	1st Post-MPB	Salvage_Harvested
SAMN56660599	Successfully loaded	RT24	Greenhouse_ITS_RT24		soil metagenome	soil	Greenhouse_ITS_RT24	2024-09	USA: Colorado	not collected	Root Tip	Day_of_Harvest	13	1st Post-MPB	Salvage_Harvested
SAMN56660600	Successfully loaded	RT25	Greenhouse_ITS_RT25		soil metagenome	soil	Greenhouse_ITS_RT25	2024-09	USA: Colorado	not collected	Root Tip	Day_of_Harvest	14	1st Post-MPB	Salvage_Harvested
SAMN56660601	Successfully loaded	RT26	Greenhouse_ITS_RT26		soil metagenome	soil	Greenhouse_ITS_RT26	2024-09	USA: Colorado	not collected	Root Tip	Day_of_Harvest	23	1st Post-MPB	Salvage_Harvested
SAMN56660602	Successfully loaded	RT27	Greenhouse_ITS_RT27		soil metagenome	soil	Greenhouse_ITS_RT27	2024-09	USA: Colorado	not collected	Root Tip	Day_of_Harvest	30	1st Post-MPB	Salvage_Harvested
SAMN56660603	Successfully loaded	RT28	Greenhouse_ITS_RT28		soil metagenome	soil	Greenhouse_ITS_RT28	2024-09	USA: Colorado	not collected	Root Tip	Day_of_Harvest	2	1st Pre-MPB	Non_Salvage_Harvested
SAMN56660604	Successfully loaded	RT29	Greenhouse_ITS_RT29		soil metagenome	soil	Greenhouse_ITS_RT29	2024-09	USA: Colorado	not collected	Root Tip	Day_of_Harvest	5	1st Pre-MPB	Non_Salvage_Harvested
SAMN56660605	Successfully loaded	RT30	Greenhouse_ITS_RT30		soil metagenome	soil	Greenhouse_ITS_RT30	2024-09	USA: Colorado	not collected	Root Tip	Day_of_Harvest	8	1st Pre-MPB	Non_Salvage_Harvested
SAMN56660606	Successfully loaded	RT31	Greenhouse_ITS_RT31		soil metagenome	soil	Greenhouse_ITS_RT31	2024-09	USA: Colorado	not collected	Root Tip	Day_of_Harvest	17	1st Pre-MPB	Non_Salvage_Harvested
SAMN56660607	Successfully loaded	RT32	Greenhouse_ITS_RT32		soil metagenome	soil	Greenhouse_ITS_RT32	2024-09	USA: Colorado	not collected	Root Tip	Day_of_Harvest	19	1st Pre-MPB	Non_Salvage_Harvested
SAMN56660608	Successfully loaded	RT33	Greenhouse_ITS_RT33		soil metagenome	soil	Greenhouse_ITS_RT33	2024-09	USA: Colorado	not collected	Root Tip	Day_of_Harvest	22	1st Pre-MPB	Non_Salvage_Harvested
SAMN56660609	Successfully loaded	RT34	Greenhouse_ITS_RT34		soil metagenome	soil	Greenhouse_ITS_RT34	2024-09	USA: Colorado	not collected	Root Tip	Day_of_Harvest	27	1st Pre-MPB	Non_Salvage_Harvested
SAMN56660610	Successfully loaded	RT56	Greenhouse_ITS_RT56		soil metagenome	soil	Greenhouse_ITS_RT56	2024-09	USA: Colorado	not collected	Root Tip	Day_of_Harvest	8	Reference Forest	Non_Salvage_Harvested
SAMN56660611	Successfully loaded	RT57	Greenhouse_ITS_RT57		soil metagenome	soil	Greenhouse_ITS_RT57	2024-09	USA: Colorado	not collected	Root Tip	Day_of_Harvest	12	Reference Forest	Non_Salvage_Harvested
