accession	study	object_status	bioproject_accession	biosample_accession	sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file
SRR37734009	SRP685577	new	PRJNA1440534	SAMN56660592	RT10	Greenhouse_ITS_RT10	RT10_Greenhouse_ITS_reads	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	NA	fastq	RT10_155_L001_R1_001.fastq.gz	RT10_155_L001_R2_001.fastq.gz				
SRR37734008	SRP685577	new	PRJNA1440534	SAMN56660593	RT11	Greenhouse_ITS_RT11	RT11_Greenhouse_ITS_reads	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	NA	fastq	RT11_197_L001_R1_001.fastq.gz	RT11_197_L001_R2_001.fastq.gz				
SRR37733995	SRP685577	new	PRJNA1440534	SAMN56660594	RT12	Greenhouse_ITS_RT12	RT12_Greenhouse_ITS_reads	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	NA	fastq	RT12_240_L001_R1_001.fastq.gz	RT12_240_L001_R2_001.fastq.gz				
SRR37733984	SRP685577	new	PRJNA1440534	SAMN56660595	RT13	Greenhouse_ITS_RT13	RT13_Greenhouse_ITS_reads	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	NA	fastq	RT13_270_L001_R1_001.fastq.gz	RT13_270_L001_R2_001.fastq.gz				
SRR37733963	SRP685577	new	PRJNA1440534	SAMN56660596	RT21	Greenhouse_ITS_RT21	RT21_Greenhouse_ITS_reads	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	NA	fastq	RT21_259_L001_R1_001.fastq.gz	RT21_259_L001_R2_001.fastq.gz				
SRR37733952	SRP685577	new	PRJNA1440534	SAMN56660597	RT22	Greenhouse_ITS_RT22	RT22_Greenhouse_ITS_reads	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	NA	fastq	RT22_171_L001_R1_001.fastq.gz	RT22_171_L001_R2_001.fastq.gz				
SRR37733941	SRP685577	new	PRJNA1440534	SAMN56660598	RT23	Greenhouse_ITS_RT23	RT23_Greenhouse_ITS_reads	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	NA	fastq	RT23_3_L001_R1_001.fastq.gz	RT23_3_L001_R2_001.fastq.gz				
SRR37733930	SRP685577	new	PRJNA1440534	SAMN56660599	RT24	Greenhouse_ITS_RT24	RT24_Greenhouse_ITS_reads	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	NA	fastq	RT24_146_L001_R1_001.fastq.gz	RT24_146_L001_R2_001.fastq.gz				
SRR37733919	SRP685577	new	PRJNA1440534	SAMN56660600	RT25	Greenhouse_ITS_RT25	RT25_Greenhouse_ITS_reads	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	NA	fastq	RT25_182_L001_R1_001.fastq.gz	RT25_182_L001_R2_001.fastq.gz				
SRR37733908	SRP685577	new	PRJNA1440534	SAMN56660601	RT26	Greenhouse_ITS_RT26	RT26_Greenhouse_ITS_reads	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	NA	fastq	RT26_207_L001_R1_001.fastq.gz	RT26_207_L001_R2_001.fastq.gz				
SRR37734007	SRP685577	new	PRJNA1440534	SAMN56660602	RT27	Greenhouse_ITS_RT27	RT27_Greenhouse_ITS_reads	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	NA	fastq	RT27_156_L001_R1_001.fastq.gz	RT27_156_L001_R2_001.fastq.gz				
SRR37734004	SRP685577	new	PRJNA1440534	SAMN56660603	RT28	Greenhouse_ITS_RT28	RT28_Greenhouse_ITS_reads	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	NA	fastq	RT28_101_L001_R1_001.fastq.gz	RT28_101_L001_R2_001.fastq.gz				
